"","customer_no","invoice_no","amount","shipper_no","shipper_date","confirm_exception","confirm_response","confirm_pct"
"59716","c00227","i59932",111,"s57281",2021-08-07,0,"Confirmed, Balance OK",1
"59717","c00722","i59755",58,"s57282",2021-08-07,0,"Confirmed, Balance OK",1
"59740","c00186","i59867",156,"s57537",2021-08-08,0,"Confirmed, Balance OK",1
"59741","c00510","i59747",124,"s57538",2021-08-08,0,"Confirmed, Balance OK",1
"59755","c00170","i59732",96,"s57780",2021-08-09,0,"Confirmed, Balance OK",1
"59807","c00404","i59936",174,"s58560",2021-08-12,0,"Confirmed, Balance OK",1
"59808","c00531","i59838",0,"s58561",2021-08-12,0,"Confirmed, Balance OK",1
"59841","c00594","i59893",264,"s59057",2021-08-14,0,"Confirmed, Balance OK",1
"59866","c00922","i59731",144,"s59579",2021-08-16,0,"Confirmed, Balance OK",1
"59867","c00939","i59875",0,"s59580",2021-08-16,0,"Confirmed, Balance OK",1
"59879","c00592","i59729",174,"s59856",2021-08-17,0,"Confirmed, Balance OK",1
"59880","c00787","i59811",116,"s59857",2021-08-17,0,"Confirmed, Balance OK",1
"59888","c00516","i59878",280,"s60113",2021-08-18,0,"Confirmed, Balance OK",1
"59896","c00333","i59913",132,"s60377",2021-08-19,0,"Confirmed, Balance OK",1
"59908","c00391","i59871",138,"s60914",2021-08-21,0,"Confirmed, Balance OK",1
"59913","c00041","i59927",0,"s61192",2021-08-22,1,"Customer will not pay shipping",0.971174966951367
"59931","c00026","i59817",74,"s62017",2021-08-25,0,"Confirmed, Balance OK",1
"59942","c00507","i59948",204,"s62511",2021-08-27,0,"Confirmed, Balance OK",1
"59993","c00110","i60115",372,"s57555",2021-08-08,0,"Confirmed, Balance OK",1
"59994","c00449","i60098",240,"s57556",2021-08-08,0,"Confirmed, Balance OK",1
"60057","c00718","i60218",28,"s58050",2021-08-10,0,"Confirmed, Balance OK",1
"60058","c00688","i60135",680,"s58051",2021-08-10,0,"Confirmed, Balance OK",1
"60059","c00639","i60171",152,"s58052",2021-08-10,0,"Confirmed, Balance OK",1
"60075","c00257","i60022",87,"s58326",2021-08-11,0,"Confirmed, Balance OK",1
"60076","c00707","i60191",84,"s58327",2021-08-11,0,"Confirmed, Balance OK",1
"60077","c00563","i60066",333,"s58328",2021-08-11,0,"Confirmed, Balance OK",1
"60098","c00450","i60011",162,"s58582",2021-08-12,0,"Confirmed, Balance OK",1
"60119","c00847","i59993",52,"s58815",2021-08-13,0,"Confirmed, Balance OK",1
"60120","c00301","i60258",180,"s58816",2021-08-13,0,"Confirmed, Balance OK",1
"60121","c00257","i60229",200,"s58817",2021-08-13,0,"Confirmed, Balance OK",1
"60122","c00642","i60178",68,"s58818",2021-08-13,0,"Confirmed, Balance OK",1
"60158","c00619","i60065",60,"s59326",2021-08-15,0,"Confirmed, Balance OK",1
"60173","c00617","i59995",0,"s59595",2021-08-16,1,"Customer claims to have returned the goods",0.539706709415186
"60186","c00794","i59997",100,"s59870",2021-08-17,0,"Confirmed, Balance OK",1
"60187","c00402","i60273",216,"s59871",2021-08-17,0,"Confirmed, Balance OK",1
"60188","c00213","i60146",288,"s59872",2021-08-17,0,"Confirmed, Balance OK",1
"60189","c00716","i60207",0,"s59873",2021-08-17,0,"Confirmed, Balance OK",1
"60201","c00223","i60089",92,"s60125",2021-08-18,1,"Customer cannot pay",0.797879323647358
"60206","c00981","i60072",640,"s60382",2021-08-19,1,"Customer claims to have returned the goods",0.685144297915977
"60216","c00299","i60002",96,"s60660",2021-08-20,0,"Confirmed, Balance OK",1
"60217","c00782","i60238",0,"s60661",2021-08-20,0,"Confirmed, Balance OK",1
"60218","c00947","i60157",75,"s60662",2021-08-20,1,"Customer will not pay shipping",0.678933101091534
"60219","c00882","i60187",132,"s60663",2021-08-20,1,"Customer claims to have returned the goods",0.687832997217774
"60227","c00708","i60192",150,"s60922",2021-08-21,0,"Confirmed, Balance OK",1
"60240","c00073","i60012",48,"s61465",2021-08-23,0,"Confirmed, Balance OK",1
"60248","c00032","i60289",475,"s62021",2021-08-25,0,"Confirmed, Balance OK",1
"60261","c00039","i60110",93,"s63012",2021-08-29,0,"Confirmed, Balance OK",1
"60270","c00295","i60047",57,"s63809",2021-09-01,0,"Confirmed, Balance OK",1
"60273","c00253","i60227",70,"s64099",2021-09-02,0,"Confirmed, Balance OK",1
"60283","c00859","i60202",120,"s65460",2021-09-07,0,"Confirmed, Balance OK",1
"60284","c00973","i60123",104,"s65461",2021-09-07,0,"Confirmed, Balance OK",1
"60353","c00918","i60441",375,"s58348",2021-08-11,0,"Confirmed, Balance OK",1
"60354","c00125","i60325",156,"s58349",2021-08-11,0,"Confirmed, Balance OK",1
"60355","c00688","i60419",41,"s58350",2021-08-11,0,"Confirmed, Balance OK",1
"60389","c00815","i60343",54,"s58839",2021-08-13,0,"Confirmed, Balance OK",1
"60390","c00888","i60485",448,"s58840",2021-08-13,0,"Confirmed, Balance OK",1
"60405","c00423","i60440",156,"s59089",2021-08-14,0,"Confirmed, Balance OK",1
"60406","c00569","i60474",32,"s59090",2021-08-14,0,"Confirmed, Balance OK",1
"60407","c00885","i60374",0,"s59091",2021-08-14,0,"Confirmed, Balance OK",1
"60408","c00828","i60557",90,"s59092",2021-08-14,0,"Confirmed, Balance OK",1
"60422","c00845","i60506",0,"s59340",2021-08-15,0,"Confirmed, Balance OK",1
"60423","c00667","i60362",74,"s59341",2021-08-15,0,"Confirmed, Balance OK",1
"60424","c00484","i60455",360,"s59342",2021-08-15,0,"Confirmed, Balance OK",1
"60425","c00960","i60420",124,"s59343",2021-08-15,0,"Confirmed, Balance OK",1
"60473","c00358","i60449",88,"s60393",2021-08-19,0,"Confirmed, Balance OK",1
"60474","c00456","i60508",248,"s60394",2021-08-19,0,"Confirmed, Balance OK",1
"60483","c00449","i60566",288,"s60672",2021-08-20,0,"Confirmed, Balance OK",1
"60484","c00428","i60464",112,"s60673",2021-08-20,0,"Confirmed, Balance OK",1
"60493","c00534","i60572",171,"s60931",2021-08-21,0,"Confirmed, Balance OK",1
"60494","c00688","i60338",576,"s60932",2021-08-21,0,"Confirmed, Balance OK",1
"60500","c00385","i60318",312,"s61203",2021-08-22,0,"Confirmed, Balance OK",1
"60510","c00811","i60309",44,"s61739",2021-08-24,0,"Confirmed, Balance OK",1
"60516","c00547","i60438",324,"s62027",2021-08-25,0,"Confirmed, Balance OK",1
"60521","c00072","i60552",81,"s62276",2021-08-26,1,"Unable to confirm balance",0.651087338707875
"60537","c00785","i60424",112,"s63270",2021-08-30,0,"Confirmed, Balance OK",1
"60566","c00184","i60426",138,"s65710",2021-09-08,0,"Confirmed, Balance OK",1
"60608","c00422","i60667",465,"s58376",2021-08-11,0,"Confirmed, Balance OK",1
"60639","c00534","i60742",198,"s58856",2021-08-13,1,"Customer rejects charge",0.851525831704494
"60640","c00379","i60701",104,"s58857",2021-08-13,0,"Confirmed, Balance OK",1
"60641","c00905","i60709",64,"s58858",2021-08-13,0,"Confirmed, Balance OK",1
"60659","c00726","i60788",124,"s59350",2021-08-15,0,"Confirmed, Balance OK",1
"60671","c00269","i60596",64,"s59618",2021-08-16,0,"Confirmed, Balance OK",1
"60684","c00860","i60726",112,"s59904",2021-08-17,0,"Confirmed, Balance OK",1
"60714","c00323","i60577",136,"s60686",2021-08-20,0,"Confirmed, Balance OK",1
"60720","c00646","i60781",42,"s60938",2021-08-21,0,"Confirmed, Balance OK",1
"60744","c00096","i60623",144,"s61753",2021-08-24,0,"Confirmed, Balance OK",1
"60745","c00261","i60764",93,"s61754",2021-08-24,0,"Confirmed, Balance OK",1
"60753","c00582","i60615",180,"s62035",2021-08-25,0,"Confirmed, Balance OK",1
"60767","c00969","i60766",93,"s62788",2021-08-28,0,"Confirmed, Balance OK",1
"60768","c00482","i60658",0,"s62789",2021-08-28,0,"Confirmed, Balance OK",1
"60773","c00640","i60590",132,"s63561",2021-08-31,0,"Confirmed, Balance OK",1
"60774","c00239","i60605",290,"s63562",2021-08-31,0,"Confirmed, Balance OK",1
"60775","c00400","i60710",25,"s63563",2021-08-31,0,"Confirmed, Balance OK",1
"60793","c00536","i60673",156,"s66822",2021-09-12,0,"Confirmed, Balance OK",1
"60826","c00703","i61049",108,"s58630",2021-08-12,0,"Confirmed, Balance OK",1
"60849","c00191","i60922",156,"s58879",2021-08-13,0,"Confirmed, Balance OK",1
"60850","c00800","i60993",0,"s58880",2021-08-13,0,"Confirmed, Balance OK",1
"60851","c00432","i61016",32,"s58881",2021-08-13,0,"Confirmed, Balance OK",1
"60852","c00629","i60888",0,"s58882",2021-08-13,1,"Customer cannot pay",0.66019700640114
"60877","c00576","i60808",62,"s59128",2021-08-14,0,"Confirmed, Balance OK",1
"60878","c00819","i60862",54,"s59129",2021-08-14,0,"Confirmed, Balance OK",1
"60914","c00571","i60895",174,"s59632",2021-08-16,0,"Confirmed, Balance OK",1
"60915","c00180","i60804",136,"s59633",2021-08-16,0,"Confirmed, Balance OK",1
"60930","c00869","i60940",248,"s59919",2021-08-17,0,"Confirmed, Balance OK",1
"60931","c00785","i60868",0,"s59920",2021-08-17,0,"Confirmed, Balance OK",1
"60952","c00823","i61019",150,"s60166",2021-08-18,0,"Confirmed, Balance OK",1
"60953","c00032","i60850",336,"s60167",2021-08-18,0,"Confirmed, Balance OK",1
"60954","c00949","i60923",84,"s60168",2021-08-18,1,"Unable to confirm balance",0.748714168500155
"60965","c00221","i61018",456,"s60410",2021-08-19,0,"Confirmed, Balance OK",1
"60982","c00883","i60917",108,"s60944",2021-08-21,0,"Confirmed, Balance OK",1
"60989","c00523","i61001",84,"s61217",2021-08-22,0,"Confirmed, Balance OK",1
"61000","c00217","i60831",156,"s61759",2021-08-24,0,"Confirmed, Balance OK",1
"61006","c00548","i60797",0,"s62041",2021-08-25,1,"Customer rejects charge",0.59198450231459
"61016","c00645","i60839",82,"s62528",2021-08-27,0,"Confirmed, Balance OK",1
"61046","c00431","i60980",72,"s65188",2021-09-06,1,"Unable to confirm balance",0.648087893186603
"61056","c00293","i60926",0,"s68218",2021-09-17,0,"Confirmed, Balance OK",1
"61058","c00452","i60976",30,"s72427",2021-10-02,0,"Confirmed, Balance OK",1
"61072","c00356","i61269",320,"s58645",2021-08-12,0,"Confirmed, Balance OK",1
"61091","c00575","i61234",0,"s58901",2021-08-13,0,"Confirmed, Balance OK",1
"61111","c00994","i61115",279,"s59149",2021-08-14,0,"Confirmed, Balance OK",1
"61112","c00082","i61136",0,"s59150",2021-08-14,0,"Confirmed, Balance OK",1
"61134","c00777","i61097",155,"s59394",2021-08-15,0,"Confirmed, Balance OK",1
"61135","c00313","i61293",56,"s59395",2021-08-15,0,"Confirmed, Balance OK",1
"61153","c00428","i61098",240,"s59651",2021-08-16,0,"Confirmed, Balance OK",1
"61154","c00608","i61301",126,"s59652",2021-08-16,0,"Confirmed, Balance OK",1
"61172","c00544","i61079",52,"s59938",2021-08-17,0,"Confirmed, Balance OK",1
"61184","c00913","i61086",210,"s60179",2021-08-18,1,"Customer will not pay shipping",0.89838801472215
"61185","c00572","i61094",93,"s60180",2021-08-18,0,"Confirmed, Balance OK",1
"61194","c00171","i61066",0,"s60419",2021-08-19,0,"Confirmed, Balance OK",1
"61195","c00830","i61190",0,"s60420",2021-08-19,0,"Confirmed, Balance OK",1
"61196","c00418","i61162",96,"s60421",2021-08-19,0,"Confirmed, Balance OK",1
"61197","c00474","i61069",87,"s60422",2021-08-19,0,"Confirmed, Balance OK",1
"61198","c00157","i61071",90,"s60423",2021-08-19,0,"Confirmed, Balance OK",1
"61199","c00059","i61200",168,"s60424",2021-08-19,0,"Confirmed, Balance OK",1
"61200","c00102","i61177",450,"s60425",2021-08-19,0,"Confirmed, Balance OK",1
"61224","c00243","i61065",300,"s61224",2021-08-22,0,"Confirmed, Balance OK",1
"61232","c00186","i61223",224,"s61762",2021-08-24,0,"Confirmed, Balance OK",1
"61233","c00609","i61099",224,"s61763",2021-08-24,0,"Confirmed, Balance OK",1
"61239","c00269","i61266",75,"s62289",2021-08-26,0,"Confirmed, Balance OK",1
"61259","c00690","i61247",81,"s63028",2021-08-29,0,"Confirmed, Balance OK",1
"61263","c00416","i61113",140,"s63279",2021-08-30,0,"Confirmed, Balance OK",1
"61269","c00847","i61298",0,"s63573",2021-08-31,0,"Confirmed, Balance OK",1
"61270","c00412","i61295",0,"s63574",2021-08-31,0,"Confirmed, Balance OK",1
"61327","c00329","i61389",68,"s58918",2021-08-13,0,"Confirmed, Balance OK",1
"61344","c00373","i61559",0,"s59167",2021-08-14,0,"Confirmed, Balance OK",1
"61345","c00679","i61564",0,"s59168",2021-08-14,0,"Confirmed, Balance OK",1
"61346","c00577","i61525",224,"s59169",2021-08-14,1,"Unable to confirm balance",0.81043225919595
"61366","c00616","i61439",138,"s59415",2021-08-15,0,"Confirmed, Balance OK",1
"61367","c00122","i61497",0,"s59416",2021-08-15,0,"Confirmed, Balance OK",1
"61368","c00566","i61561",136,"s59417",2021-08-15,0,"Confirmed, Balance OK",1
"61369","c00185","i61324",50,"s59418",2021-08-15,0,"Confirmed, Balance OK",1
"61410","c00482","i61556",74,"s59958",2021-08-17,0,"Confirmed, Balance OK",1
"61434","c00517","i61410",180,"s60204",2021-08-18,0,"Confirmed, Balance OK",1
"61452","c00479","i61411",186,"s60443",2021-08-19,0,"Confirmed, Balance OK",1
"61453","c00524","i61607",252,"s60444",2021-08-19,0,"Confirmed, Balance OK",1
"61474","c00969","i61426",207,"s60965",2021-08-21,1,"Unable to confirm balance",0.648111370697152
"61534","c00900","i61587",120,"s62301",2021-08-26,0,"Confirmed, Balance OK",1
"61535","c00935","i61610",0,"s62302",2021-08-26,0,"Confirmed, Balance OK",1
"61560","c00154","i61567",240,"s63287",2021-08-30,0,"Confirmed, Balance OK",1
"61586","c00977","i61420",248,"s65469",2021-09-07,0,"Confirmed, Balance OK",1
"61601","c00707","i61527",84,"s69021",2021-09-20,0,"Confirmed, Balance OK",1
"61621","c00059","i61819",0,"s59180",2021-08-14,0,"Confirmed, Balance OK",1
"61622","c00113","i61847",54,"s59181",2021-08-14,0,"Confirmed, Balance OK",1
"61624","c00318","i61807",66,"s59183",2021-08-14,0,"Confirmed, Balance OK",1
"61654","c00733","i61739",46,"s59448",2021-08-15,0,"Confirmed, Balance OK",1
"61679","c00440","i61649",120,"s59699",2021-08-16,0,"Confirmed, Balance OK",1
"61680","c00286","i61867",156,"s59700",2021-08-16,0,"Confirmed, Balance OK",1
"61682","c00825","i61792",184,"s59702",2021-08-16,0,"Confirmed, Balance OK",1
"61696","c00397","i61898",108,"s59972",2021-08-17,0,"Confirmed, Balance OK",1
"61697","c00212","i61616",140,"s59973",2021-08-17,0,"Confirmed, Balance OK",1
"61711","c00633","i61838",62,"s60218",2021-08-18,0,"Confirmed, Balance OK",1
"61712","c00027","i61720",464,"s60219",2021-08-18,0,"Confirmed, Balance OK",1
"61735","c00246","i61901",192,"s60467",2021-08-19,0,"Confirmed, Balance OK",1
"61736","c00013","i61620",62,"s60468",2021-08-19,0,"Confirmed, Balance OK",1
"61752","c00610","i61718",0,"s60730",2021-08-20,1,"Customer claims to have returned the goods",0.691308677080087
"61753","c00363","i61618",78,"s60731",2021-08-20,0,"Confirmed, Balance OK",1
"61773","c00994","i61801",81,"s60985",2021-08-21,0,"Confirmed, Balance OK",1
"61796","c00423","i61851",192,"s61508",2021-08-23,0,"Confirmed, Balance OK",1
"61797","c00400","i61835",168,"s61509",2021-08-23,0,"Confirmed, Balance OK",1
"61798","c00268","i61781",84,"s61510",2021-08-23,0,"Confirmed, Balance OK",1
"61816","c00269","i61749",270,"s62061",2021-08-25,1,"Customer will not pay shipping",0.651708129968029
"61835","c00439","i61894",72,"s62552",2021-08-27,0,"Confirmed, Balance OK",1
"61836","c00041","i61763",58,"s62553",2021-08-27,0,"Confirmed, Balance OK",1
"61837","c00885","i61612",162,"s62554",2021-08-27,0,"Confirmed, Balance OK",1
"61838","c00147","i61869",26,"s62555",2021-08-27,0,"Confirmed, Balance OK",1
"61843","c00632","i61671",60,"s62807",2021-08-28,0,"Confirmed, Balance OK",1
"61844","c00455","i61733",90,"s62808",2021-08-28,0,"Confirmed, Balance OK",1
"61854","c00562","i61611",360,"s63044",2021-08-29,0,"Confirmed, Balance OK",1
"61862","c00072","i61846",68,"s63295",2021-08-30,1,"Customer rejects charge",0.583073135993909
"61868","c00768","i61800",280,"s63585",2021-08-31,0,"Confirmed, Balance OK",1
"61869","c00465","i61668",232,"s63586",2021-08-31,0,"Confirmed, Balance OK",1
"61882","c00833","i61803",128,"s64383",2021-09-03,0,"Confirmed, Balance OK",1
"61886","c00934","i61691",75,"s64670",2021-09-04,0,"Confirmed, Balance OK",1
"61890","c00547","i61784",420,"s65470",2021-09-07,0,"Confirmed, Balance OK",1
"61914","c00055","i61895",174,"s70406",2021-09-25,0,"Confirmed, Balance OK",1
"61916","c00739","i61663",132,"s70691",2021-09-26,0,"Confirmed, Balance OK",1
"61931","c00455","i62065",60,"s59460",2021-08-15,0,"Confirmed, Balance OK",1
"61932","c00390","i62107",186,"s59461",2021-08-15,0,"Confirmed, Balance OK",1
"61933","c00411","i62029",0,"s59462",2021-08-15,0,"Confirmed, Balance OK",1
"61962","c00939","i62088",114,"s59731",2021-08-16,0,"Confirmed, Balance OK",1
"61963","c00997","i62018",0,"s59732",2021-08-16,1,"No Response",0.781006009685807
"61964","c00016","i61986",184,"s59733",2021-08-16,0,"Confirmed, Balance OK",1
"61965","c00229","i62179",74,"s59734",2021-08-16,0,"Confirmed, Balance OK",1
"61977","c00778","i62080",60,"s59985",2021-08-17,0,"Confirmed, Balance OK",1
"61978","c00909","i61987",162,"s59986",2021-08-17,0,"Confirmed, Balance OK",1
"61999","c00184","i62009",29,"s60240",2021-08-18,0,"Confirmed, Balance OK",1
"62000","c00189","i62069",0,"s60241",2021-08-18,0,"Confirmed, Balance OK",1
"62019","c00419","i62000",30,"s60487",2021-08-19,0,"Confirmed, Balance OK",1
"62020","c00470","i62128",180,"s60488",2021-08-19,0,"Confirmed, Balance OK",1
"62036","c00279","i62033",198,"s60747",2021-08-20,0,"Confirmed, Balance OK",1
"62054","c00314","i62166",0,"s61004",2021-08-21,0,"Confirmed, Balance OK",1
"62055","c00010","i62089",92,"s61005",2021-08-21,0,"Confirmed, Balance OK",1
"62070","c00621","i62127",33,"s61263",2021-08-22,0,"Confirmed, Balance OK",1
"62071","c00502","i61924",288,"s61264",2021-08-22,0,"Confirmed, Balance OK",1
"62072","c00635","i62121",72,"s61265",2021-08-22,0,"Confirmed, Balance OK",1
"62094","c00681","i62167",0,"s61796",2021-08-24,0,"Confirmed, Balance OK",1
"62122","c00189","i62002",288,"s62813",2021-08-28,0,"Confirmed, Balance OK",1
"62123","c00055","i62165",0,"s62814",2021-08-28,0,"Confirmed, Balance OK",1
"62130","c00780","i61939",216,"s63051",2021-08-29,0,"Confirmed, Balance OK",1
"62155","c00541","i61995",198,"s64385",2021-09-03,0,"Confirmed, Balance OK",1
"62156","c00745","i62005",162,"s64386",2021-09-03,0,"Confirmed, Balance OK",1
"62180","c00973","i62130",210,"s66576",2021-09-11,0,"Confirmed, Balance OK",1
"62192","c00282","i61932",222,"s72980",2021-10-04,0,"Confirmed, Balance OK",1
"62204","c00349","i62422",120,"s59744",2021-08-16,0,"Confirmed, Balance OK",1
"62225","c00012","i62237",0,"s60007",2021-08-17,0,"Confirmed, Balance OK",1
"62226","c00729","i62236",174,"s60008",2021-08-17,0,"Confirmed, Balance OK",1
"62227","c00714","i62310",232,"s60009",2021-08-17,0,"Confirmed, Balance OK",1
"62228","c00531","i62370",78,"s60010",2021-08-17,0,"Confirmed, Balance OK",1
"62245","c00128","i62345",44,"s60258",2021-08-18,0,"Confirmed, Balance OK",1
"62246","c00464","i62230",34,"s60259",2021-08-18,1,"Customer claims fraction of the amount charged",0.722087895686273
"62319","c00089","i62423",204,"s61284",2021-08-22,0,"Confirmed, Balance OK",1
"62335","c00247","i62225",116,"s61803",2021-08-24,0,"Confirmed, Balance OK",1
"62336","c00843","i62295",279,"s61804",2021-08-24,0,"Confirmed, Balance OK",1
"62355","c00642","i62325",78,"s62332",2021-08-26,0,"Confirmed, Balance OK",1
"62356","c00225","i62260",45,"s62333",2021-08-26,0,"Confirmed, Balance OK",1
"62363","c00148","i62373",324,"s62566",2021-08-27,0,"Confirmed, Balance OK",1
"62364","c00536","i62328",81,"s62567",2021-08-27,0,"Confirmed, Balance OK",1
"62365","c00787","i62372",435,"s62568",2021-08-27,0,"Confirmed, Balance OK",1
"62382","c00806","i62261",129,"s63060",2021-08-29,0,"Confirmed, Balance OK",1
"62384","c00363","i62349",56,"s63306",2021-08-30,0,"Confirmed, Balance OK",1
"62390","c00098","i62432",124,"s63597",2021-08-31,0,"Confirmed, Balance OK",1
"62397","c00447","i62239",512,"s63839",2021-09-01,0,"Confirmed, Balance OK",1
"62404","c00957","i62355",75,"s64129",2021-09-02,0,"Confirmed, Balance OK",1
"62408","c00533","i62281",180,"s64390",2021-09-03,0,"Confirmed, Balance OK",1
"62409","c00784","i62330",64,"s64391",2021-09-03,0,"Confirmed, Balance OK",1
"62424","c00696","i62412",100,"s65477",2021-09-07,0,"Confirmed, Balance OK",1
"62434","c00107","i62248",124,"s67115",2021-09-13,0,"Confirmed, Balance OK",1
"62445","c00548","i62411",93,"s72168",2021-10-01,0,"Confirmed, Balance OK",1
"62446","c00217","i62224",224,"s73253",2021-10-05,0,"Confirmed, Balance OK",1
"62472","c00032","i62657",378,"s60275",2021-08-18,0,"Confirmed, Balance OK",1
"62498","c00845","i62691",75,"s60535",2021-08-19,0,"Confirmed, Balance OK",1
"62513","c00536","i62555",450,"s60784",2021-08-20,0,"Confirmed, Balance OK",1
"62514","c00102","i62609",192,"s60785",2021-08-20,0,"Confirmed, Balance OK",1
"62515","c00395","i62475",600,"s60786",2021-08-20,0,"Confirmed, Balance OK",1
"62516","c00272","i62600",136,"s60787",2021-08-20,0,"Confirmed, Balance OK",1
"62517","c00623","i62662",288,"s60788",2021-08-20,1,"Customer cannot pay",0.56582370680524
"62518","c00523","i62704",138,"s60789",2021-08-20,0,"Confirmed, Balance OK",1
"62519","c00947","i62705",200,"s60790",2021-08-20,0,"Confirmed, Balance OK",1
"62543","c00859","i62692",60,"s61040",2021-08-21,0,"Confirmed, Balance OK",1
"62544","c00863","i62610",432,"s61041",2021-08-21,0,"Confirmed, Balance OK",1
"62568","c00909","i62627",148,"s61542",2021-08-23,0,"Confirmed, Balance OK",1
"62584","c00689","i62462",288,"s61820",2021-08-24,0,"Confirmed, Balance OK",1
"62595","c00689","i62585",0,"s62091",2021-08-25,1,"No Response",0.979124166166875
"62601","c00282","i62632",152,"s62339",2021-08-26,0,"Confirmed, Balance OK",1
"62615","c00054","i62469",80,"s62828",2021-08-28,0,"Confirmed, Balance OK",1
"62650","c00099","i62641",136,"s64133",2021-09-02,0,"Confirmed, Balance OK",1
"62674","c00929","i62682",0,"s65480",2021-09-07,0,"Confirmed, Balance OK",1
"62675","c00739","i62693",0,"s65481",2021-09-07,0,"Confirmed, Balance OK",1
"62676","c00126","i62471",160,"s65482",2021-09-07,0,"Confirmed, Balance OK",1
"62692","c00448","i62655",0,"s67663",2021-09-15,0,"Confirmed, Balance OK",1
"62704","c00477","i62623",72,"s70692",2021-09-26,0,"Confirmed, Balance OK",1
"62716","c00237","i62949",24,"s60285",2021-08-18,0,"Confirmed, Balance OK",1
"62744","c00705","i62969",0,"s60563",2021-08-19,0,"Confirmed, Balance OK",1
"62745","c00403","i62736",60,"s60564",2021-08-19,0,"Confirmed, Balance OK",1
"62767","c00935","i62859",96,"s60812",2021-08-20,0,"Confirmed, Balance OK",1
"62768","c00957","i62905",130,"s60813",2021-08-20,0,"Confirmed, Balance OK",1
"62769","c00333","i62900",27,"s60814",2021-08-20,0,"Confirmed, Balance OK",1
"62770","c00084","i62864",38,"s60815",2021-08-20,1,"Customer will not pay shipping",0.934227944060694
"62790","c00376","i62777",84,"s61061",2021-08-21,0,"Confirmed, Balance OK",1
"62839","c00491","i62833",186,"s61836",2021-08-24,0,"Confirmed, Balance OK",1
"62873","c00808","i62944",0,"s62588",2021-08-27,0,"Confirmed, Balance OK",1
"62874","c00237","i62766",372,"s62589",2021-08-27,1,"Unable to confirm balance",0.921189016764984
"62892","c00193","i62965",115,"s63082",2021-08-29,0,"Confirmed, Balance OK",1
"62903","c00659","i62893",132,"s63323",2021-08-30,0,"Confirmed, Balance OK",1
"62904","c00182","i62946",93,"s63324",2021-08-30,0,"Confirmed, Balance OK",1
"62908","c00371","i62958",88,"s63612",2021-08-31,0,"Confirmed, Balance OK",1
"62909","c00654","i62845",0,"s63613",2021-08-31,0,"Confirmed, Balance OK",1
"62922","c00909","i62858",132,"s63856",2021-09-01,0,"Confirmed, Balance OK",1
"62942","c00322","i62896",144,"s64966",2021-09-05,0,"Confirmed, Balance OK",1
"62943","c00412","i62970",150,"s64967",2021-09-05,0,"Confirmed, Balance OK",1
"62956","c00014","i62763",174,"s66581",2021-09-11,0,"Confirmed, Balance OK",1
"62980","c00246","i63240",345,"s60572",2021-08-19,0,"Confirmed, Balance OK",1
"63006","c00229","i63168",168,"s60841",2021-08-20,0,"Confirmed, Balance OK",1
"63007","c00807","i63127",33,"s60842",2021-08-20,0,"Confirmed, Balance OK",1
"63029","c00784","i63082",360,"s61083",2021-08-21,0,"Confirmed, Balance OK",1
"63047","c00444","i63223",0,"s61330",2021-08-22,0,"Confirmed, Balance OK",1
"63048","c00343","i63024",52,"s61331",2021-08-22,0,"Confirmed, Balance OK",1
"63049","c00667","i63005",162,"s61332",2021-08-22,0,"Confirmed, Balance OK",1
"63050","c00413","i63200",252,"s61333",2021-08-22,0,"Confirmed, Balance OK",1
"63051","c00070","i63215",112,"s61334",2021-08-22,0,"Confirmed, Balance OK",1
"63070","c00490","i63066",111,"s61576",2021-08-23,0,"Confirmed, Balance OK",1
"63071","c00880","i63081",35,"s61577",2021-08-23,0,"Confirmed, Balance OK",1
"63087","c00263","i63003",56,"s61851",2021-08-24,0,"Confirmed, Balance OK",1
"63102","c00595","i63101",444,"s62116",2021-08-25,0,"Confirmed, Balance OK",1
"63114","c00760","i63065",300,"s62363",2021-08-26,0,"Confirmed, Balance OK",1
"63129","c00679","i63218",28,"s62605",2021-08-27,0,"Confirmed, Balance OK",1
"63138","c00249","i63047",76,"s62842",2021-08-28,0,"Confirmed, Balance OK",1
"63139","c00134","i63075",369,"s62843",2021-08-28,1,"Customer cannot pay",0.516500366018154
"63140","c00761","i63139",186,"s62844",2021-08-28,0,"Confirmed, Balance OK",1
"63162","c00391","i63010",74,"s63332",2021-08-30,0,"Confirmed, Balance OK",1
"63163","c00834","i63222",0,"s63333",2021-08-30,0,"Confirmed, Balance OK",1
"63164","c00611","i63062",174,"s63334",2021-08-30,0,"Confirmed, Balance OK",1
"63165","c00600","i63150",150,"s63335",2021-08-30,0,"Confirmed, Balance OK",1
"63182","c00068","i63228",100,"s63865",2021-09-01,0,"Confirmed, Balance OK",1
"63183","c00867","i63093",120,"s63866",2021-09-01,0,"Confirmed, Balance OK",1
"63190","c00816","i63070",132,"s64143",2021-09-02,0,"Confirmed, Balance OK",1
"63206","c00107","i63217",528,"s64974",2021-09-05,0,"Confirmed, Balance OK",1
"63227","c00795","i63114",224,"s66583",2021-09-11,0,"Confirmed, Balance OK",1
"63293","c00175","i63462",0,"s61116",2021-08-21,0,"Confirmed, Balance OK",1
"63294","c00835","i63301",189,"s61117",2021-08-21,0,"Confirmed, Balance OK",1
"63295","c00585","i63439",207,"s61118",2021-08-21,0,"Confirmed, Balance OK",1
"63323","c00678","i63495",156,"s61362",2021-08-22,0,"Confirmed, Balance OK",1
