"","ap_no","ap_date","sku","no_units_ordered","extended_cost","receiver_no","receiver_date"
"332","ap00332",2021-04-07,"EAWPQWC",100,2500,"rec00332",2021-04-06
"333","ap00333",2021-03-25,"JEKNFSP",100,2300,"rec00333",2021-03-24
"334","ap00334",2021-03-29,"HWHNRLM",100,3400,"rec00334",2021-03-28
"335","ap00335",2021-04-12,"ADTRJIC",100,3500,"rec00335",2021-04-11
"336","ap00336",2021-04-12,"KFFPQHJ",100,2300,"rec00336",2021-04-11
"337","ap00337",2021-04-16,"CKRSVPS",100,4000,"rec00337",2021-04-15
"338","ap00338",2021-03-30,"RJVMNUA",100,3000,"rec00338",2021-03-29
"339","ap00339",2021-04-10,"KHZEJIK",100,2700,"rec00339",2021-04-09
"340","ap00340",2021-05-05,"IRULFJS",100,3200,"rec00340",2021-05-04
"341","ap00341",2021-04-01,"XWIVBQC",100,2800,"rec00341",2021-03-31
"342","ap00342",2021-04-05,"RZFLQYR",100,3000,"rec00342",2021-04-04
"343","ap00343",2021-04-19,"LUZQZTB",100,3400,"rec00343",2021-04-18
"344","ap00344",2021-03-25,"CHPUIXH",100,2900,"rec00344",2021-03-24
"345","ap00345",2021-03-30,"OZVFQYT",100,2800,"rec00345",2021-03-29
"346","ap00346",2021-04-04,"YKSHAPY",100,3300,"rec00346",2021-04-03
"347","ap00347",2021-03-30,"CVTAJDH",100,3400,"rec00347",2021-03-29
"348","ap00348",2021-03-27,"LAHDFVE",100,2100,"rec00348",2021-03-26
"349","ap00349",2021-03-29,"JLJCCDG",100,2800,"rec00349",2021-03-28
"350","ap00350",2021-04-11,"SDQJMPT",100,3000,"rec00350",2021-04-10
"351","ap00351",2021-04-07,"BBVKGVN",100,4200,"rec00351",2021-04-06
"352","ap00352",2021-04-25,"BNCZSBG",100,2400,"rec00352",2021-04-24
"353","ap00353",2021-04-10,"NMKCASH",100,3000,"rec00353",2021-04-09
"354","ap00354",2021-03-29,"GKMUKER",100,2900,"rec00354",2021-03-28
"355","ap00355",2021-04-10,"TPCVNKA",100,2600,"rec00355",2021-04-09
"356","ap00356",2021-04-10,"TFTNWPP",100,3300,"rec00356",2021-04-09
"357","ap00357",2021-04-14,"JXBKELB",100,3000,"rec00357",2021-04-13
"358","ap00358",2021-04-20,"QIXIGKB",100,3100,"rec00358",2021-04-19
"359","ap00359",2021-03-30,"CJBGRWO",100,3200,"rec00359",2021-03-29
"360","ap00360",2021-03-30,"JHHKRXR",100,3000,"rec00360",2021-03-29
"361","ap00361",2021-04-01,"TXLLIBD",100,3000,"rec00361",2021-03-31
"362","ap00362",2021-05-31,"UQTIPFY",100,3100,"rec00362",2021-05-30
"363","ap00363",2021-04-06,"MCNOLPW",100,3400,"rec00363",2021-04-05
"364","ap00364",2021-04-27,"YJFIGRB",100,4100,"rec00364",2021-04-26
"365","ap00365",2021-04-07,"FCCLMUJ",100,3500,"rec00365",2021-04-06
"366","ap00366",2021-04-22,"COSVCQZ",100,2200,"rec00366",2021-04-21
"367","ap00367",2021-04-03,"DNCFXFI",100,3000,"rec00367",2021-04-02
"368","ap00368",2021-04-16,"SKSLVXC",100,3700,"rec00368",2021-04-15
"369","ap00369",2021-03-29,"QFGDBEV",100,3100,"rec00369",2021-03-28
"370","ap00370",2021-04-14,"RMXGKDS",100,4000,"rec00370",2021-04-13
"371","ap00371",2021-04-05,"LDXQGDP",100,3200,"rec00371",2021-04-04
"372","ap00372",2021-03-30,"JUICJYE",100,3000,"rec00372",2021-03-29
"373","ap00373",2021-03-31,"EMZJEAI",100,3100,"rec00373",2021-03-30
"374","ap00374",2021-05-27,"ZQDOWGJ",100,2200,"rec00374",2021-05-26
"375","ap00375",2021-04-01,"VNTYNAT",100,2600,"rec00375",2021-03-31
"376","ap00376",2021-04-04,"NZYVDBZ",100,2600,"rec00376",2021-04-03
"377","ap00377",2021-04-18,"AUTRSRF",100,2100,"rec00377",2021-04-17
"378","ap00378",2021-03-29,"UHQWAYW",100,2700,"rec00378",2021-03-28
"379","ap00379",2021-05-05,"NAGIFVZ",100,3600,"rec00379",2021-05-04
"380","ap00380",2021-03-29,"DNZKHES",100,2700,"rec00380",2021-03-28
"381","ap00381",2021-04-16,"CHELCST",100,2400,"rec00381",2021-04-15
"382","ap00382",2021-04-08,"CNWBZQG",100,2700,"rec00382",2021-04-07
"383","ap00383",2021-04-06,"CIHTBFO",100,4000,"rec00383",2021-04-05
"384","ap00384",2021-04-20,"UFKQHPZ",100,3700,"rec00384",2021-04-19
"385","ap00385",2021-03-30,"QNIEQWZ",100,3700,"rec00385",2021-03-29
"386","ap00386",2021-04-01,"HWDIAAC",100,2500,"rec00386",2021-03-31
"387","ap00387",2021-04-10,"IFZUXDV",100,2800,"rec00387",2021-04-09
"388","ap00388",2021-04-21,"UJMUJYN",100,3600,"rec00388",2021-04-20
"389","ap00389",2021-03-31,"WBSAVLO",100,2000,"rec00389",2021-03-30
"390","ap00390",2021-04-11,"DHXSUCF",100,2900,"rec00390",2021-04-10
"391","ap00391",2021-04-13,"JTDUJAK",100,2700,"rec00391",2021-04-12
"392","ap00392",2021-04-09,"QBIMSBM",100,3400,"rec00392",2021-04-08
"393","ap00393",2021-04-11,"YYGLXIS",100,3300,"rec00393",2021-04-10
"394","ap00394",2021-04-09,"KVPMKRG",100,3300,"rec00394",2021-04-08
"395","ap00395",2021-04-18,"DJYHXZE",100,3300,"rec00395",2021-04-17
"396","ap00396",2021-04-15,"HGASBLF",100,2400,"rec00396",2021-04-14
"397","ap00397",2021-04-21,"HHXKGEL",100,2100,"rec00397",2021-04-20
"398","ap00398",2021-04-05,"NQYOVOP",100,3900,"rec00398",2021-04-04
"399","ap00399",2021-04-11,"NLIQLCY",100,2600,"rec00399",2021-04-10
"400","ap00400",2021-04-04,"TRKTUQE",100,3100,"rec00400",2021-04-03
"401","ap00401",2021-04-07,"TTPKYJR",100,2700,"rec00401",2021-04-06
"402","ap00402",2021-04-10,"QMHYJEX",100,4200,"rec00402",2021-04-09
"403","ap00403",2021-04-07,"ZZXIYOG",100,2200,"rec00403",2021-04-06
"404","ap00404",2021-04-14,"SALWCWL",100,3700,"rec00404",2021-04-13
"405","ap00405",2021-04-12,"NLBBRRS",100,3200,"rec00405",2021-04-11
"406","ap00406",2021-05-05,"CMJNYFN",100,3100,"rec00406",2021-05-04
"407","ap00407",2021-04-03,"LJWCQSE",100,2200,"rec00407",2021-04-02
"408","ap00408",2021-05-23,"PYLGHKK",100,3100,"rec00408",2021-05-22
"409","ap00409",2021-04-17,"RNHTFLN",100,2600,"rec00409",2021-04-16
"410","ap00410",2021-04-14,"EHVPULC",100,2600,"rec00410",2021-04-13
"411","ap00411",2021-04-05,"EUAGXWP",100,2000,"rec00411",2021-04-04
"412","ap00412",2021-04-04,"ECUDQQP",100,2900,"rec00412",2021-04-03
"413","ap00413",2021-04-29,"NYEBCLF",100,2800,"rec00413",2021-04-28
"414","ap00414",2021-04-02,"BPRSUSB",100,2800,"rec00414",2021-04-01
"415","ap00415",2021-04-04,"NWJRMHP",100,2500,"rec00415",2021-04-03
"416","ap00416",2021-04-16,"XNJZOPC",100,2300,"rec00416",2021-04-15
"417","ap00417",2021-04-22,"RYQWXKC",100,3400,"rec00417",2021-04-21
"418","ap00418",2021-05-21,"ATSHOYI",100,3600,"rec00418",2021-05-20
"419","ap00419",2021-04-09,"KATKSUK",100,1900,"rec00419",2021-04-08
"420","ap00420",2021-04-04,"ZHMHASO",100,3000,"rec00420",2021-04-03
"421","ap00421",2021-04-06,"OLPNNCT",100,3100,"rec00421",2021-04-05
"422","ap00422",2021-04-08,"SJAUHQH",100,3700,"rec00422",2021-04-07
"423","ap00423",2021-04-16,"HQRQXTL",100,2900,"rec00423",2021-04-15
"424","ap00424",2021-06-19,"JTKJJBA",100,2700,"rec00424",2021-06-18
"425","ap00425",2021-04-16,"INDYBRZ",100,4300,"rec00425",2021-04-15
"426","ap00426",2021-04-02,"XLRKWVA",100,3100,"rec00426",2021-04-01
"427","ap00427",2021-04-14,"BYIDVQD",100,2500,"rec00427",2021-04-13
"428","ap00428",2021-04-07,"QUXDQRH",100,2600,"rec00428",2021-04-06
"429","ap00429",2021-04-07,"URKXWEN",100,2200,"rec00429",2021-04-06
"430","ap00430",2021-04-15,"TJDBHGE",100,3200,"rec00430",2021-04-14
"431","ap00431",2021-05-08,"AMQVIAL",100,4100,"rec00431",2021-05-07
"432","ap00432",2021-04-21,"PQEAEBU",100,4000,"rec00432",2021-04-20
"433","ap00433",2021-04-11,"ACDOAAZ",100,2700,"rec00433",2021-04-10
"434","ap00434",2021-04-23,"AWZROHL",100,2400,"rec00434",2021-04-22
"435","ap00435",2021-04-30,"IGHOGDG",100,2700,"rec00435",2021-04-29
"436","ap00436",2021-04-06,"HEEXAXP",100,2500,"rec00436",2021-04-05
"437","ap00437",2021-04-29,"MMXSZAQ",100,3600,"rec00437",2021-04-28
"438","ap00438",2021-04-21,"YPNPGIS",100,1900,"rec00438",2021-04-20
"439","ap00439",2021-04-08,"KDVZVRR",100,2900,"rec00439",2021-04-07
"440","ap00440",2021-04-06,"FOLPURS",100,3700,"rec00440",2021-04-05
"441","ap00441",2021-04-08,"RBJRJDG",100,2600,"rec00441",2021-04-07
"442","ap00442",2021-05-03,"WNUCCOD",100,2500,"rec00442",2021-05-02
"443","ap00443",2021-04-23,"JRVHXUU",100,2400,"rec00443",2021-04-22
"444","ap00444",2021-04-24,"SPMQGGV",100,2900,"rec00444",2021-04-23
"445","ap00445",2021-04-27,"HEJPQTP",100,2100,"rec00445",2021-04-26
"446","ap00446",2021-04-09,"JRSCBEL",100,4000,"rec00446",2021-04-08
"447","ap00447",2021-04-04,"LZJFUOG",100,4200,"rec00447",2021-04-03
"448","ap00448",2021-04-11,"UFPNYQU",100,2600,"rec00448",2021-04-10
"449","ap00449",2021-05-04,"TBBKPTC",100,2500,"rec00449",2021-05-03
"450","ap00450",2021-04-17,"MFZHIXG",100,2900,"rec00450",2021-04-16
"451","ap00451",2021-05-26,"NQAHVIF",100,3200,"rec00451",2021-05-25
"452","ap00452",2021-04-21,"EGEMKAV",100,2700,"rec00452",2021-04-20
"453","ap00453",2021-04-08,"FOOULLS",100,2600,"rec00453",2021-04-07
"454","ap00454",2021-04-20,"BKVYYWY",100,2600,"rec00454",2021-04-19
"455","ap00455",2021-04-06,"SOEOLLF",100,2800,"rec00455",2021-04-05
"456","ap00456",2021-04-06,"LYGGMIQ",100,2000,"rec00456",2021-04-05
"457","ap00457",2021-06-17,"GFHJOGM",100,2900,"rec00457",2021-06-16
"458","ap00458",2021-04-18,"OLAESIN",100,3400,"rec00458",2021-04-17
"459","ap00459",2021-04-06,"VKQLZHW",100,3700,"rec00459",2021-04-05
"460","ap00460",2021-04-03,"MPGMAVA",100,3100,"rec00460",2021-04-02
"461","ap00461",2021-04-03,"HDQSOJS",100,2300,"rec00461",2021-04-02
"462","ap00462",2021-04-13,"LAYGBLC",100,1900,"rec00462",2021-04-12
"463","ap00463",2021-04-05,"GKSKGNA",100,3500,"rec00463",2021-04-04
"464","ap00464",2021-04-17,"YKPKELC",100,4100,"rec00464",2021-04-16
"465","ap00465",2021-04-11,"YNXHEBF",100,3600,"rec00465",2021-04-10
"466","ap00466",2021-04-05,"DJCGRXL",100,3200,"rec00466",2021-04-04
"467","ap00467",2021-04-14,"JAWCHZI",100,3500,"rec00467",2021-04-13
"468","ap00468",2021-04-06,"WXKNEWZ",100,3100,"rec00468",2021-04-05
"469","ap00469",2021-04-21,"AONHKJO",100,4300,"rec00469",2021-04-20
"470","ap00470",2021-05-01,"FTHFUWN",100,3000,"rec00470",2021-04-30
"471","ap00471",2021-05-04,"WZBEWDY",100,3400,"rec00471",2021-05-03
"472","ap00472",2021-04-07,"UGTLINX",100,2800,"rec00472",2021-04-06
"473","ap00473",2021-04-04,"ULAAPNP",100,1900,"rec00473",2021-04-03
"474","ap00474",2021-04-15,"WBTVATB",100,3100,"rec00474",2021-04-14
"475","ap00475",2021-04-11,"EWMYSVW",100,2500,"rec00475",2021-04-10
"476","ap00476",2021-04-14,"DWHFYBZ",100,2100,"rec00476",2021-04-13
"477","ap00477",2021-04-10,"KYBHESB",100,2600,"rec00477",2021-04-09
"478","ap00478",2021-04-10,"DIRTWYR",100,3400,"rec00478",2021-04-09
"479","ap00479",2021-04-12,"QXCZJWB",100,3300,"rec00479",2021-04-11
"480","ap00480",2021-04-13,"JDGPAWW",100,3200,"rec00480",2021-04-12
"481","ap00481",2021-04-29,"DRPNGWX",100,3700,"rec00481",2021-04-28
"482","ap00482",2021-05-03,"QCWQVIH",100,2200,"rec00482",2021-05-02
"483","ap00483",2021-04-13,"SGXWMIM",100,3000,"rec00483",2021-04-12
"484","ap00484",2021-04-15,"KGXRRIA",100,3100,"rec00484",2021-04-14
"485","ap00485",2021-04-12,"EJFGZQF",100,2300,"rec00485",2021-04-11
"486","ap00486",2021-04-08,"RZXAPLE",100,3900,"rec00486",2021-04-07
"487","ap00487",2021-04-09,"YNTSDUO",100,2700,"rec00487",2021-04-08
"488","ap00488",2021-05-07,"QHVTCKY",100,3900,"rec00488",2021-05-06
"489","ap00489",2021-04-13,"MNDBNAC",100,3200,"rec00489",2021-04-12
"490","ap00490",2021-04-06,"VPJBCKM",100,2800,"rec00490",2021-04-05
"491","ap00491",2021-04-12,"LQAVXXZ",100,3100,"rec00491",2021-04-11
"492","ap00492",2021-04-10,"GSMNNGV",100,2500,"rec00492",2021-04-09
"493","ap00493",2021-04-08,"JRTDEXE",100,2700,"rec00493",2021-04-07
"494","ap00494",2021-04-11,"TNVSDVE",100,2700,"rec00494",2021-04-10
"495","ap00495",2021-04-13,"SSTAXQI",100,3900,"rec00495",2021-04-12
"496","ap00496",2021-04-12,"PNEPCDU",100,3700,"rec00496",2021-04-11
"497","ap00497",2021-04-20,"MRUYHGP",100,3700,"rec00497",2021-04-19
"498","ap00498",2021-04-11,"PVUHLMM",100,3300,"rec00498",2021-04-10
"499","ap00499",2021-04-11,"TJWFTRB",100,3600,"rec00499",2021-04-10
"500","ap00500",2021-06-10,"XJBYESX",100,3400,"rec00500",2021-06-09
"501","ap00501",2021-04-11,"FPENHEC",100,2700,"rec00501",2021-04-10
"502","ap00502",2021-04-08,"AEQTGRP",100,2500,"rec00502",2021-04-07
"503","ap00503",2021-04-09,"XCLUIJE",100,2400,"rec00503",2021-04-08
"504","ap00504",2021-05-19,"IHDBAWP",100,3700,"rec00504",2021-05-18
"505","ap00505",2021-05-07,"ZLGYUWX",100,2200,"rec00505",2021-05-06
"506","ap00506",2021-04-11,"QGBGUZO",100,3500,"rec00506",2021-04-10
"507","ap00507",2021-05-09,"UJTIHNT",100,3200,"rec00507",2021-05-08
"508","ap00508",2021-04-19,"UHBLIEB",100,3300,"rec00508",2021-04-18
"509","ap00509",2021-04-25,"HKFKHHF",100,3500,"rec00509",2021-04-24
"510","ap00510",2021-04-10,"NPBSVYF",100,4400,"rec00510",2021-04-09
"511","ap00511",2021-04-10,"BISJXTL",100,3600,"rec00511",2021-04-09
"512","ap00512",2021-04-17,"AGEZHXM",100,2200,"rec00512",2021-04-16
"513","ap00513",2021-04-27,"HKURBVT",100,4000,"rec00513",2021-04-26
"514","ap00514",2021-04-10,"DSKRGXD",100,3400,"rec00514",2021-04-09
"515","ap00515",2021-04-22,"YMVYEVF",100,2500,"rec00515",2021-04-21
"516","ap00516",2021-05-16,"WONXCVF",100,3400,"rec00516",2021-05-15
"517","ap00517",2021-04-16,"LJRTVNY",100,3600,"rec00517",2021-04-15
"518","ap00518",2021-04-23,"DXVEUKJ",100,4300,"rec00518",2021-04-22
"519","ap00519",2021-04-18,"KLXJSDK",100,3700,"rec00519",2021-04-17
"520","ap00520",2021-04-12,"WGTTZIU",100,3600,"rec00520",2021-04-11
"521","ap00521",2021-04-14,"UWAOAMK",100,2700,"rec00521",2021-04-13
"522","ap00522",2021-05-08,"UYEHHZC",100,2600,"rec00522",2021-05-07
"523","ap00523",2021-04-08,"OPFUHLG",100,2200,"rec00523",2021-04-07
"524","ap00524",2021-04-09,"JKRMNJC",100,2900,"rec00524",2021-04-08
"525","ap00525",2021-04-27,"SLTXABC",100,2400,"rec00525",2021-04-26
"526","ap00526",2021-05-01,"IBJTJGP",100,2800,"rec00526",2021-04-30
"527","ap00527",2021-04-11,"RCAKXTB",100,3200,"rec00527",2021-04-10
"528","ap00528",2021-04-13,"LBBIIML",100,2200,"rec00528",2021-04-12
"529","ap00529",2021-04-11,"RFCWCRP",100,3200,"rec00529",2021-04-10
"530","ap00530",2021-06-18,"ANMHCKF",100,3400,"rec00530",2021-06-17
"531","ap00531",2021-04-14,"FBTQBXR",100,2600,"rec00531",2021-04-13
"532","ap00532",2021-04-30,"DKEYKOY",100,3300,"rec00532",2021-04-29
"533","ap00533",2021-04-10,"ZDBIPKM",100,2400,"rec00533",2021-04-09
"534","ap00534",2021-05-09,"GBFFOCJ",100,3500,"rec00534",2021-05-08
"535","ap00535",2021-04-10,"ONSZMGW",100,3300,"rec00535",2021-04-09
"536","ap00536",2021-04-17,"YLLZVMX",100,3900,"rec00536",2021-04-16
"537","ap00537",2021-04-27,"QLWFBBY",100,3300,"rec00537",2021-04-26
"538","ap00538",2021-05-01,"NCQEAJW",100,2800,"rec00538",2021-04-30
"539","ap00539",2021-04-12,"TSOSUFP",100,4200,"rec00539",2021-04-11
"540","ap00540",2021-04-14,"VZTDKWZ",100,2700,"rec00540",2021-04-13
"541","ap00541",2021-05-04,"PZNFWMT",100,2900,"rec00541",2021-05-03
"542","ap00542",2021-04-18,"BYUGQFX",100,2800,"rec00542",2021-04-17
"543","ap00543",2021-04-26,"NNABTST",100,2400,"rec00543",2021-04-25
"544","ap00544",2021-04-14,"LPIQMYE",100,1900,"rec00544",2021-04-13
"545","ap00545",2021-05-22,"IVXKCAA",100,3000,"rec00545",2021-05-21
"546","ap00546",2021-06-02,"YEKUATE",100,3800,"rec00546",2021-06-01
"547","ap00547",2021-05-02,"HRKRRLQ",100,2600,"rec00547",2021-05-01
"548","ap00548",2021-04-16,"HWMKHSA",100,2500,"rec00548",2021-04-15
"549","ap00549",2021-04-16,"QODYCLE",100,3500,"rec00549",2021-04-15
"550","ap00550",2021-04-17,"AWOOKVD",100,3500,"rec00550",2021-04-16
"551","ap00551",2021-05-07,"ISAKZEC",100,3300,"rec00551",2021-05-06
"552","ap00552",2021-04-11,"VMQSEDZ",100,3500,"rec00552",2021-04-10
"553","ap00553",2021-05-08,"NRSVPGR",100,3800,"rec00553",2021-05-07
"554","ap00554",2021-05-07,"FXJNRKI",100,4400,"rec00554",2021-05-06
"555","ap00555",2021-04-21,"IXTTTUP",100,3800,"rec00555",2021-04-20
"556","ap00556",2021-05-14,"CPKRKYN",100,2100,"rec00556",2021-05-13
"557","ap00557",2021-04-19,"AOHAAQP",100,2400,"rec00557",2021-04-18
"558","ap00558",2021-05-13,"KNZKLAS",100,2600,"rec00558",2021-05-12
"559","ap00559",2021-04-16,"TXDMNIY",100,3400,"rec00559",2021-04-15
"560","ap00560",2021-04-28,"TGMARVF",100,3700,"rec00560",2021-04-27
"561","ap00561",2021-04-21,"LOWRKHH",100,2700,"rec00561",2021-04-20
"562","ap00562",2021-04-20,"JLDDRXD",100,3200,"rec00562",2021-04-19
"563","ap00563",2021-04-21,"TRTFDCF",100,3100,"rec00563",2021-04-20
"564","ap00564",2021-04-29,"HKHZFAM",100,3000,"rec00564",2021-04-28
"565","ap00565",2021-04-14,"FVDFLIW",100,2700,"rec00565",2021-04-13
"566","ap00566",2021-05-04,"ZDEUTFG",100,3600,"rec00566",2021-05-03
"567","ap00567",2021-04-13,"FERWNHD",100,2900,"rec00567",2021-04-12
"568","ap00568",2021-04-15,"CQJVOIG",100,3000,"rec00568",2021-04-14
"569","ap00569",2021-05-11,"LOTXRLQ",100,3300,"rec00569",2021-05-10
"570","ap00570",2021-04-21,"CQOZYZD",100,3400,"rec00570",2021-04-20
"571","ap00571",2021-04-28,"IBQYOZP",100,3900,"rec00571",2021-04-27
"572","ap00572",2021-04-16,"BWFCPZB",100,2600,"rec00572",2021-04-15
"573","ap00573",2021-04-20,"SABLEIM",100,4000,"rec00573",2021-04-19
"574","ap00574",2021-05-05,"WRPOXSQ",100,2300,"rec00574",2021-05-04
"575","ap00575",2021-04-21,"DXBCRIG",100,4000,"rec00575",2021-04-20
"576","ap00576",2021-05-22,"GMFJVXK",100,3900,"rec00576",2021-05-21
"577","ap00577",2021-04-18,"RYJGRGI",100,2300,"rec00577",2021-04-17
"578","ap00578",2021-04-17,"JIWGGUL",100,3300,"rec00578",2021-04-16
"579","ap00579",2021-05-06,"NCFOHJJ",100,3600,"rec00579",2021-05-05
"580","ap00580",2021-05-02,"ZLBJNEZ",100,2100,"rec00580",2021-05-01
"581","ap00581",2021-05-04,"HREBITI",100,2500,"rec00581",2021-05-03
"582","ap00582",2021-04-20,"SCBAPOA",100,3800,"rec00582",2021-04-19
"583","ap00583",2021-04-27,"OYQLKZP",100,2400,"rec00583",2021-04-26
"584","ap00584",2021-05-04,"TEQANUF",100,2900,"rec00584",2021-05-03
"585","ap00585",2021-04-30,"NIAMIYQ",100,2600,"rec00585",2021-04-29
"586","ap00586",2021-04-30,"RYGRNRJ",100,3600,"rec00586",2021-04-29
"587","ap00587",2021-04-22,"OQNYFMV",100,2500,"rec00587",2021-04-21
"588","ap00588",2021-05-05,"UQNSAXO",100,2700,"rec00588",2021-05-04
"589","ap00589",2021-05-03,"WOZOSPG",100,3600,"rec00589",2021-05-02
"590","ap00590",2021-04-28,"RRRPRSV",100,2600,"rec00590",2021-04-27
"591","ap00591",2021-04-24,"BDZINJJ",100,2300,"rec00591",2021-04-23
"592","ap00592",2021-05-01,"VSEXTLV",100,3000,"rec00592",2021-04-30
"593","ap00593",2021-04-17,"YNLPIYI",100,3800,"rec00593",2021-04-16
"594","ap00594",2021-04-15,"YJSTVXL",100,2300,"rec00594",2021-04-14
"595","ap00595",2021-04-15,"EJHCCDU",100,3100,"rec00595",2021-04-14
"596","ap00596",2021-05-02,"SSGQIJK",100,3000,"rec00596",2021-05-01
"597","ap00597",2021-04-17,"IJAHYIW",100,3300,"rec00597",2021-04-16
"598","ap00598",2021-05-31,"JITSTDW",100,3300,"rec00598",2021-05-30
"599","ap00599",2021-05-08,"DKKXEOH",100,2900,"rec00599",2021-05-07
"600","ap00600",2021-04-15,"OOYJHIP",100,2800,"rec00600",2021-04-14
"601","ap00601",2021-05-26,"KYSVFLC",100,2900,"rec00601",2021-05-25
"602","ap00602",2021-05-03,"YWEFIEX",100,3200,"rec00602",2021-05-02
"603","ap00603",2021-05-14,"LMTTGVJ",100,3200,"rec00603",2021-05-13
"604","ap00604",2021-04-26,"GUNUTYJ",100,2700,"rec00604",2021-04-25
"605","ap00605",2021-05-03,"SFFUQMA",100,2200,"rec00605",2021-05-02
"606","ap00606",2021-04-23,"IDOFTRN",100,3000,"rec00606",2021-04-22
"607","ap00607",2021-04-25,"STJEXNR",100,3500,"rec00607",2021-04-24
"608","ap00608",2021-04-16,"RWIFTAB",100,3000,"rec00608",2021-04-15
"609","ap00609",2021-05-15,"CYHGAIF",100,2500,"rec00609",2021-05-14
"610","ap00610",2021-05-06,"JWVNKMD",100,2600,"rec00610",2021-05-05
"611","ap00611",2021-04-24,"TMOUMSZ",100,3400,"rec00611",2021-04-23
"612","ap00612",2021-04-16,"XHKBEBN",100,2800,"rec00612",2021-04-15
"613","ap00613",2021-04-16,"FNKOHGS",100,4000,"rec00613",2021-04-15
"614","ap00614",2021-04-21,"PSFUVEK",100,3300,"rec00614",2021-04-20
"615","ap00615",2021-04-24,"PAACBTA",100,3400,"rec00615",2021-04-23
"616","ap00616",2021-04-24,"JTGPCMX",100,3900,"rec00616",2021-04-23
"617","ap00617",2021-04-16,"IOZREKB",100,2500,"rec00617",2021-04-15
"618","ap00618",2021-04-17,"OFNMEOY",100,4400,"rec00618",2021-04-16
"619","ap00619",2021-04-18,"CGYEJHC",100,2600,"rec00619",2021-04-17
"620","ap00620",2021-04-21,"AMKIUKC",100,2700,"rec00620",2021-04-20
"621","ap00621",2021-05-08,"KNGEOMD",100,2500,"rec00621",2021-05-07
"622","ap00622",2021-04-19,"JNTUFML",100,2500,"rec00622",2021-04-18
"623","ap00623",2021-04-19,"RYZQTMR",100,3100,"rec00623",2021-04-18
"624","ap00624",2021-04-21,"PSDMAYX",100,2900,"rec00624",2021-04-20
"625","ap00625",2021-05-05,"RCZTEFC",100,2100,"rec00625",2021-05-04
"626","ap00626",2021-04-26,"BOVBXMP",100,2400,"rec00626",2021-04-25
"627","ap00627",2021-05-08,"ZTGZKTM",100,3400,"rec00627",2021-05-07
"628","ap00628",2021-04-23,"SIVQGAB",100,3100,"rec00628",2021-04-22
"629","ap00629",2021-04-19,"YIFSAZZ",100,2600,"rec00629",2021-04-18
"630","ap00630",2021-05-13,"XIAMGCY",100,2600,"rec00630",2021-05-12
"631","ap00631",2021-05-16,"PJRXZDR",100,3900,"rec00631",2021-05-15
"632","ap00632",2021-04-26,"VIAEIPW",100,3000,"rec00632",2021-04-25
"633","ap00633",2021-04-23,"QUJOHOK",100,2600,"rec00633",2021-04-22
"634","ap00634",2021-05-03,"PXGFMAV",100,2700,"rec00634",2021-05-02
"635","ap00635",2021-07-04,"LLMQWUG",100,3700,"rec00635",2021-07-03
"636","ap00636",2021-04-27,"UUDHWLQ",100,2800,"rec00636",2021-04-26
"637","ap00637",2021-04-19,"YLPXDLT",100,2800,"rec00637",2021-04-18
"638","ap00638",2021-05-12,"JTCSYCT",100,2800,"rec00638",2021-05-11
"639","ap00639",2021-05-01,"VKNQIEZ",100,2500,"rec00639",2021-04-30
"640","ap00640",2021-05-28,"MRVTGQF",100,2600,"rec00640",2021-05-27
"641","ap00641",2021-04-21,"ITYQURY",100,2700,"rec00641",2021-04-20
"642","ap00642",2021-04-28,"EKAWORI",100,3600,"rec00642",2021-04-27
"643","ap00643",2021-04-23,"JLWSYMZ",100,2900,"rec00643",2021-04-22
"644","ap00644",2021-05-11,"MOCIDDP",100,3800,"rec00644",2021-05-10
"645","ap00645",2021-04-29,"EAUSKUN",100,1900,"rec00645",2021-04-28
"646","ap00646",2021-04-21,"OOPNKVT",100,2700,"rec00646",2021-04-20
"647","ap00647",2021-05-03,"WKEOANB",100,2200,"rec00647",2021-05-02
"648","ap00648",2021-04-21,"ZQUOHES",100,3000,"rec00648",2021-04-20
"649","ap00649",2021-05-26,"ASEQMYX",100,3200,"rec00649",2021-05-25
"650","ap00650",2021-04-24,"DZYOEZX",100,3600,"rec00650",2021-04-23
"651","ap00651",2021-05-21,"CESMDML",100,2400,"rec00651",2021-05-20
"652","ap00652",2021-04-26,"YBKUMMI",100,2500,"rec00652",2021-04-25
"653","ap00653",2021-05-14,"YYKNTSI",100,3000,"rec00653",2021-05-13
"654","ap00654",2021-04-28,"RSZFPAG",100,2100,"rec00654",2021-04-27
"655","ap00655",2021-04-30,"SSJFRHE",100,3300,"rec00655",2021-04-29
"656","ap00656",2021-04-26,"YYTIJCT",100,3500,"rec00656",2021-04-25
"657","ap00657",2021-04-24,"LXCWBNY",100,3300,"rec00657",2021-04-23
"658","ap00658",2021-04-26,"COYQQTQ",100,2200,"rec00658",2021-04-25
"659","ap00659",2021-05-07,"UVPPMXZ",100,2900,"rec00659",2021-05-06
"660","ap00660",2021-04-28,"ZDDZJZA",100,2600,"rec00660",2021-04-27
"661","ap00661",2021-04-21,"DLBVARC",100,3600,"rec00661",2021-04-20
"662","ap00662",2021-05-18,"ZFAGHES",100,3200,"rec00662",2021-05-17
"663","ap00663",2021-04-25,"QCHYEUX",100,2600,"rec00663",2021-04-24
