"","receiver_no","receiver_date","sku","unit_cost","received","po_no","po_date"
"349","rec00349",2021-03-28,"JLJCCDG",28,100,"p00349",2021-03-24
"350","rec00350",2021-04-10,"SDQJMPT",30,100,"p00350",2021-03-24
"351","rec00351",2021-04-06,"BBVKGVN",42,100,"p00351",2021-03-25
"352","rec00352",2021-04-24,"BNCZSBG",24,100,"p00352",2021-03-25
"353","rec00353",2021-04-09,"NMKCASH",30,100,"p00353",2021-03-25
"354","rec00354",2021-03-28,"GKMUKER",29,100,"p00354",2021-03-25
"355","rec00355",2021-04-09,"TPCVNKA",26,100,"p00355",2021-03-25
"356","rec00356",2021-04-09,"TFTNWPP",33,100,"p00356",2021-03-25
"357","rec00357",2021-04-13,"JXBKELB",30,100,"p00357",2021-03-25
"358","rec00358",2021-04-19,"QIXIGKB",31,100,"p00358",2021-03-26
"359","rec00359",2021-03-29,"CJBGRWO",32,100,"p00359",2021-03-26
"360","rec00360",2021-03-29,"JHHKRXR",30,100,"p00360",2021-03-26
"361","rec00361",2021-03-31,"TXLLIBD",30,100,"p00361",2021-03-26
"362","rec00362",2021-05-30,"UQTIPFY",31,100,"p00362",2021-03-26
"363","rec00363",2021-04-05,"MCNOLPW",34,100,"p00363",2021-03-26
"364","rec00364",2021-04-26,"YJFIGRB",41,100,"p00364",2021-03-26
"365","rec00365",2021-04-06,"FCCLMUJ",35,100,"p00365",2021-03-26
"366","rec00366",2021-04-21,"COSVCQZ",22,100,"p00366",2021-03-26
"367","rec00367",2021-04-02,"DNCFXFI",30,100,"p00367",2021-03-26
"368","rec00368",2021-04-15,"SKSLVXC",37,100,"p00368",2021-03-26
"369","rec00369",2021-03-28,"QFGDBEV",31,100,"p00369",2021-03-26
"370","rec00370",2021-04-13,"RMXGKDS",40,100,"p00370",2021-03-26
"371","rec00371",2021-04-04,"LDXQGDP",32,100,"p00371",2021-03-27
"372","rec00372",2021-03-29,"JUICJYE",30,100,"p00372",2021-03-27
"373","rec00373",2021-03-30,"EMZJEAI",31,100,"p00373",2021-03-27
"374","rec00374",2021-05-26,"ZQDOWGJ",22,100,"p00374",2021-03-27
"375","rec00375",2021-03-31,"VNTYNAT",26,100,"p00375",2021-03-27
"376","rec00376",2021-04-03,"NZYVDBZ",26,100,"p00376",2021-03-27
"377","rec00377",2021-04-17,"AUTRSRF",21,100,"p00377",2021-03-27
"378","rec00378",2021-03-28,"UHQWAYW",27,100,"p00378",2021-03-27
"379","rec00379",2021-05-04,"NAGIFVZ",36,100,"p00379",2021-03-27
"380","rec00380",2021-03-28,"DNZKHES",27,100,"p00380",2021-03-27
"381","rec00381",2021-04-15,"CHELCST",24,100,"p00381",2021-03-27
"382","rec00382",2021-04-07,"CNWBZQG",27,100,"p00382",2021-03-28
"383","rec00383",2021-04-05,"CIHTBFO",40,100,"p00383",2021-03-28
"384","rec00384",2021-04-19,"UFKQHPZ",37,100,"p00384",2021-03-28
"385","rec00385",2021-03-29,"QNIEQWZ",37,100,"p00385",2021-03-28
"386","rec00386",2021-03-31,"HWDIAAC",25,100,"p00386",2021-03-28
"387","rec00387",2021-04-09,"IFZUXDV",28,100,"p00387",2021-03-28
"388","rec00388",2021-04-20,"UJMUJYN",36,100,"p00388",2021-03-28
"389","rec00389",2021-03-30,"WBSAVLO",20,100,"p00389",2021-03-28
"390","rec00390",2021-04-10,"DHXSUCF",29,100,"p00390",2021-03-28
"391","rec00391",2021-04-12,"JTDUJAK",27,100,"p00391",2021-03-28
"392","rec00392",2021-04-08,"QBIMSBM",34,100,"p00392",2021-03-28
"393","rec00393",2021-04-10,"YYGLXIS",33,100,"p00393",2021-03-28
"394","rec00394",2021-04-08,"KVPMKRG",33,100,"p00394",2021-03-28
"395","rec00395",2021-04-17,"DJYHXZE",33,100,"p00395",2021-03-28
"396","rec00396",2021-04-14,"HGASBLF",24,100,"p00396",2021-03-28
"397","rec00397",2021-04-20,"HHXKGEL",21,100,"p00397",2021-03-28
"398","rec00398",2021-04-04,"NQYOVOP",39,100,"p00398",2021-03-28
"399","rec00399",2021-04-10,"NLIQLCY",26,100,"p00399",2021-03-28
"400","rec00400",2021-04-03,"TRKTUQE",31,100,"p00400",2021-03-29
"401","rec00401",2021-04-06,"TTPKYJR",27,100,"p00401",2021-03-29
"402","rec00402",2021-04-09,"QMHYJEX",42,100,"p00402",2021-03-29
"403","rec00403",2021-04-06,"ZZXIYOG",22,100,"p00403",2021-03-29
"404","rec00404",2021-04-13,"SALWCWL",37,100,"p00404",2021-03-29
"405","rec00405",2021-04-11,"NLBBRRS",32,100,"p00405",2021-03-29
"406","rec00406",2021-05-04,"CMJNYFN",31,100,"p00406",2021-03-29
"407","rec00407",2021-04-02,"LJWCQSE",22,100,"p00407",2021-03-29
"408","rec00408",2021-05-22,"PYLGHKK",31,100,"p00408",2021-03-29
"409","rec00409",2021-04-16,"RNHTFLN",26,100,"p00409",2021-03-29
"410","rec00410",2021-04-13,"EHVPULC",26,100,"p00410",2021-03-29
"411","rec00411",2021-04-04,"EUAGXWP",20,100,"p00411",2021-03-29
"412","rec00412",2021-04-03,"ECUDQQP",29,100,"p00412",2021-03-29
"413","rec00413",2021-04-28,"NYEBCLF",28,100,"p00413",2021-03-30
"414","rec00414",2021-04-01,"BPRSUSB",28,100,"p00414",2021-03-30
"415","rec00415",2021-04-03,"NWJRMHP",25,100,"p00415",2021-03-30
"416","rec00416",2021-04-15,"XNJZOPC",23,100,"p00416",2021-03-30
"417","rec00417",2021-04-21,"RYQWXKC",34,100,"p00417",2021-03-30
"418","rec00418",2021-05-20,"ATSHOYI",36,100,"p00418",2021-03-30
"419","rec00419",2021-04-08,"KATKSUK",19,100,"p00419",2021-03-30
"420","rec00420",2021-04-03,"ZHMHASO",30,100,"p00420",2021-03-30
"421","rec00421",2021-04-05,"OLPNNCT",31,100,"p00421",2021-03-30
"422","rec00422",2021-04-07,"SJAUHQH",37,100,"p00422",2021-03-31
"423","rec00423",2021-04-15,"HQRQXTL",29,100,"p00423",2021-03-31
"424","rec00424",2021-06-18,"JTKJJBA",27,100,"p00424",2021-03-31
"425","rec00425",2021-04-15,"INDYBRZ",43,100,"p00425",2021-03-31
"426","rec00426",2021-04-01,"XLRKWVA",31,100,"p00426",2021-03-31
"427","rec00427",2021-04-13,"BYIDVQD",25,100,"p00427",2021-03-31
"428","rec00428",2021-04-06,"QUXDQRH",26,100,"p00428",2021-03-31
"429","rec00429",2021-04-06,"URKXWEN",22,100,"p00429",2021-03-31
"430","rec00430",2021-04-14,"TJDBHGE",32,100,"p00430",2021-03-31
"431","rec00431",2021-05-07,"AMQVIAL",41,100,"p00431",2021-03-31
"432","rec00432",2021-04-20,"PQEAEBU",40,100,"p00432",2021-03-31
"433","rec00433",2021-04-10,"ACDOAAZ",27,100,"p00433",2021-03-31
"434","rec00434",2021-04-22,"AWZROHL",24,100,"p00434",2021-03-31
"435","rec00435",2021-04-29,"IGHOGDG",27,100,"p00435",2021-04-01
"436","rec00436",2021-04-05,"HEEXAXP",25,100,"p00436",2021-04-01
"437","rec00437",2021-04-28,"MMXSZAQ",36,100,"p00437",2021-04-01
"438","rec00438",2021-04-20,"YPNPGIS",19,100,"p00438",2021-04-01
"439","rec00439",2021-04-07,"KDVZVRR",29,100,"p00439",2021-04-01
"440","rec00440",2021-04-05,"FOLPURS",37,100,"p00440",2021-04-01
"441","rec00441",2021-04-07,"RBJRJDG",26,100,"p00441",2021-04-01
"442","rec00442",2021-05-02,"WNUCCOD",25,100,"p00442",2021-04-01
"443","rec00443",2021-04-22,"JRVHXUU",24,100,"p00443",2021-04-01
"444","rec00444",2021-04-23,"SPMQGGV",29,100,"p00444",2021-04-01
"445","rec00445",2021-04-26,"HEJPQTP",21,100,"p00445",2021-04-01
"446","rec00446",2021-04-08,"JRSCBEL",40,100,"p00446",2021-04-01
"447","rec00447",2021-04-03,"LZJFUOG",42,100,"p00447",2021-04-01
"448","rec00448",2021-04-10,"UFPNYQU",26,100,"p00448",2021-04-01
"449","rec00449",2021-05-03,"TBBKPTC",25,100,"p00449",2021-04-01
"450","rec00450",2021-04-16,"MFZHIXG",29,100,"p00450",2021-04-01
"451","rec00451",2021-05-25,"NQAHVIF",32,100,"p00451",2021-04-01
"452","rec00452",2021-04-20,"EGEMKAV",27,100,"p00452",2021-04-02
"453","rec00453",2021-04-07,"FOOULLS",26,100,"p00453",2021-04-02
"454","rec00454",2021-04-19,"BKVYYWY",26,100,"p00454",2021-04-02
"455","rec00455",2021-04-05,"SOEOLLF",28,100,"p00455",2021-04-02
"456","rec00456",2021-04-05,"LYGGMIQ",20,100,"p00456",2021-04-02
"457","rec00457",2021-06-16,"GFHJOGM",29,100,"p00457",2021-04-02
"458","rec00458",2021-04-17,"OLAESIN",34,100,"p00458",2021-04-02
"459","rec00459",2021-04-05,"VKQLZHW",37,100,"p00459",2021-04-02
"460","rec00460",2021-04-02,"MPGMAVA",31,100,"p00460",2021-04-02
"461","rec00461",2021-04-02,"HDQSOJS",23,100,"p00461",2021-04-02
"462","rec00462",2021-04-12,"LAYGBLC",19,100,"p00462",2021-04-02
"463","rec00463",2021-04-04,"GKSKGNA",35,100,"p00463",2021-04-02
"464","rec00464",2021-04-16,"YKPKELC",41,100,"p00464",2021-04-02
"465","rec00465",2021-04-10,"YNXHEBF",36,100,"p00465",2021-04-02
"466","rec00466",2021-04-04,"DJCGRXL",32,100,"p00466",2021-04-02
"467","rec00467",2021-04-13,"JAWCHZI",35,100,"p00467",2021-04-02
"468","rec00468",2021-04-05,"WXKNEWZ",31,100,"p00468",2021-04-03
"469","rec00469",2021-04-20,"AONHKJO",43,100,"p00469",2021-04-03
"470","rec00470",2021-04-30,"FTHFUWN",30,100,"p00470",2021-04-03
"471","rec00471",2021-05-03,"WZBEWDY",34,100,"p00471",2021-04-03
"472","rec00472",2021-04-06,"UGTLINX",28,100,"p00472",2021-04-03
"473","rec00473",2021-04-03,"ULAAPNP",19,100,"p00473",2021-04-03
"474","rec00474",2021-04-14,"WBTVATB",31,100,"p00474",2021-04-03
"475","rec00475",2021-04-10,"EWMYSVW",25,100,"p00475",2021-04-03
"476","rec00476",2021-04-13,"DWHFYBZ",21,100,"p00476",2021-04-03
"477","rec00477",2021-04-09,"KYBHESB",26,100,"p00477",2021-04-03
"478","rec00478",2021-04-09,"DIRTWYR",34,100,"p00478",2021-04-03
"479","rec00479",2021-04-11,"QXCZJWB",33,100,"p00479",2021-04-03
"480","rec00480",2021-04-12,"JDGPAWW",32,100,"p00480",2021-04-03
"481","rec00481",2021-04-28,"DRPNGWX",37,100,"p00481",2021-04-03
"482","rec00482",2021-05-02,"QCWQVIH",22,100,"p00482",2021-04-03
"483","rec00483",2021-04-12,"SGXWMIM",30,100,"p00483",2021-04-03
"484","rec00484",2021-04-14,"KGXRRIA",31,100,"p00484",2021-04-03
"485","rec00485",2021-04-11,"EJFGZQF",23,100,"p00485",2021-04-04
"486","rec00486",2021-04-07,"RZXAPLE",39,100,"p00486",2021-04-04
"487","rec00487",2021-04-08,"YNTSDUO",27,100,"p00487",2021-04-04
"488","rec00488",2021-05-06,"QHVTCKY",39,100,"p00488",2021-04-04
"489","rec00489",2021-04-12,"MNDBNAC",32,100,"p00489",2021-04-04
"490","rec00490",2021-04-05,"VPJBCKM",28,100,"p00490",2021-04-04
"491","rec00491",2021-04-11,"LQAVXXZ",31,100,"p00491",2021-04-04
"492","rec00492",2021-04-09,"GSMNNGV",25,100,"p00492",2021-04-04
"493","rec00493",2021-04-07,"JRTDEXE",27,100,"p00493",2021-04-05
"494","rec00494",2021-04-10,"TNVSDVE",27,100,"p00494",2021-04-05
"495","rec00495",2021-04-12,"SSTAXQI",39,100,"p00495",2021-04-05
"496","rec00496",2021-04-11,"PNEPCDU",37,100,"p00496",2021-04-05
"497","rec00497",2021-04-19,"MRUYHGP",37,100,"p00497",2021-04-05
"498","rec00498",2021-04-10,"PVUHLMM",33,100,"p00498",2021-04-05
"499","rec00499",2021-04-10,"TJWFTRB",36,100,"p00499",2021-04-05
"500","rec00500",2021-06-09,"XJBYESX",34,100,"p00500",2021-04-05
"501","rec00501",2021-04-10,"FPENHEC",27,100,"p00501",2021-04-05
"502","rec00502",2021-04-07,"AEQTGRP",25,100,"p00502",2021-04-05
"503","rec00503",2021-04-08,"XCLUIJE",24,100,"p00503",2021-04-05
"504","rec00504",2021-05-18,"IHDBAWP",37,100,"p00504",2021-04-06
"505","rec00505",2021-05-06,"ZLGYUWX",22,100,"p00505",2021-04-06
"506","rec00506",2021-04-10,"QGBGUZO",35,100,"p00506",2021-04-06
"507","rec00507",2021-05-08,"UJTIHNT",32,100,"p00507",2021-04-06
"508","rec00508",2021-04-18,"UHBLIEB",33,100,"p00508",2021-04-06
"509","rec00509",2021-04-24,"HKFKHHF",35,100,"p00509",2021-04-06
"510","rec00510",2021-04-09,"NPBSVYF",44,100,"p00510",2021-04-06
"511","rec00511",2021-04-09,"BISJXTL",36,100,"p00511",2021-04-07
"512","rec00512",2021-04-16,"AGEZHXM",22,100,"p00512",2021-04-07
"513","rec00513",2021-04-26,"HKURBVT",40,100,"p00513",2021-04-07
"514","rec00514",2021-04-09,"DSKRGXD",34,100,"p00514",2021-04-07
"515","rec00515",2021-04-21,"YMVYEVF",25,100,"p00515",2021-04-07
"516","rec00516",2021-05-15,"WONXCVF",34,100,"p00516",2021-04-07
"517","rec00517",2021-04-15,"LJRTVNY",36,100,"p00517",2021-04-07
"518","rec00518",2021-04-22,"DXVEUKJ",43,100,"p00518",2021-04-07
"519","rec00519",2021-04-17,"KLXJSDK",37,100,"p00519",2021-04-07
"520","rec00520",2021-04-11,"WGTTZIU",36,100,"p00520",2021-04-07
"521","rec00521",2021-04-13,"UWAOAMK",27,100,"p00521",2021-04-07
"522","rec00522",2021-05-07,"UYEHHZC",26,100,"p00522",2021-04-07
"523","rec00523",2021-04-07,"OPFUHLG",22,100,"p00523",2021-04-07
"524","rec00524",2021-04-08,"JKRMNJC",29,100,"p00524",2021-04-07
"525","rec00525",2021-04-26,"SLTXABC",24,100,"p00525",2021-04-07
"526","rec00526",2021-04-30,"IBJTJGP",28,100,"p00526",2021-04-08
"527","rec00527",2021-04-10,"RCAKXTB",32,100,"p00527",2021-04-08
"528","rec00528",2021-04-12,"LBBIIML",22,100,"p00528",2021-04-08
"529","rec00529",2021-04-10,"RFCWCRP",32,100,"p00529",2021-04-08
"530","rec00530",2021-06-17,"ANMHCKF",34,100,"p00530",2021-04-08
"531","rec00531",2021-04-13,"FBTQBXR",26,100,"p00531",2021-04-08
"532","rec00532",2021-04-29,"DKEYKOY",33,100,"p00532",2021-04-08
"533","rec00533",2021-04-09,"ZDBIPKM",24,100,"p00533",2021-04-08
"534","rec00534",2021-05-08,"GBFFOCJ",35,100,"p00534",2021-04-08
"535","rec00535",2021-04-09,"ONSZMGW",33,100,"p00535",2021-04-08
"536","rec00536",2021-04-16,"YLLZVMX",39,100,"p00536",2021-04-09
"537","rec00537",2021-04-26,"QLWFBBY",33,100,"p00537",2021-04-09
"538","rec00538",2021-04-30,"NCQEAJW",28,100,"p00538",2021-04-09
"539","rec00539",2021-04-11,"TSOSUFP",42,100,"p00539",2021-04-09
"540","rec00540",2021-04-13,"VZTDKWZ",27,100,"p00540",2021-04-09
"541","rec00541",2021-05-03,"PZNFWMT",29,100,"p00541",2021-04-09
"542","rec00542",2021-04-17,"BYUGQFX",28,100,"p00542",2021-04-09
"543","rec00543",2021-04-25,"NNABTST",24,100,"p00543",2021-04-09
"544","rec00544",2021-04-13,"LPIQMYE",19,100,"p00544",2021-04-09
"545","rec00545",2021-05-21,"IVXKCAA",30,100,"p00545",2021-04-10
"546","rec00546",2021-06-01,"YEKUATE",38,100,"p00546",2021-04-10
"547","rec00547",2021-05-01,"HRKRRLQ",26,100,"p00547",2021-04-10
"548","rec00548",2021-04-15,"HWMKHSA",25,100,"p00548",2021-04-10
"549","rec00549",2021-04-15,"QODYCLE",35,100,"p00549",2021-04-10
"550","rec00550",2021-04-16,"AWOOKVD",35,100,"p00550",2021-04-10
"551","rec00551",2021-05-06,"ISAKZEC",33,100,"p00551",2021-04-10
"552","rec00552",2021-04-10,"VMQSEDZ",35,100,"p00552",2021-04-10
"553","rec00553",2021-05-07,"NRSVPGR",38,100,"p00553",2021-04-10
"554","rec00554",2021-05-06,"FXJNRKI",44,100,"p00554",2021-04-10
"555","rec00555",2021-04-20,"IXTTTUP",38,100,"p00555",2021-04-10
"556","rec00556",2021-05-13,"CPKRKYN",21,100,"p00556",2021-04-10
"557","rec00557",2021-04-18,"AOHAAQP",24,100,"p00557",2021-04-11
"558","rec00558",2021-05-12,"KNZKLAS",26,100,"p00558",2021-04-11
"559","rec00559",2021-04-15,"TXDMNIY",34,100,"p00559",2021-04-11
"560","rec00560",2021-04-27,"TGMARVF",37,100,"p00560",2021-04-11
"561","rec00561",2021-04-20,"LOWRKHH",27,100,"p00561",2021-04-11
"562","rec00562",2021-04-19,"JLDDRXD",32,100,"p00562",2021-04-11
"563","rec00563",2021-04-20,"TRTFDCF",31,100,"p00563",2021-04-11
"564","rec00564",2021-04-28,"HKHZFAM",30,100,"p00564",2021-04-11
"565","rec00565",2021-04-13,"FVDFLIW",27,100,"p00565",2021-04-11
"566","rec00566",2021-05-03,"ZDEUTFG",36,100,"p00566",2021-04-11
"567","rec00567",2021-04-12,"FERWNHD",29,100,"p00567",2021-04-11
"568","rec00568",2021-04-14,"CQJVOIG",30,100,"p00568",2021-04-11
"569","rec00569",2021-05-10,"LOTXRLQ",33,100,"p00569",2021-04-11
"570","rec00570",2021-04-20,"CQOZYZD",34,100,"p00570",2021-04-11
"571","rec00571",2021-04-27,"IBQYOZP",39,100,"p00571",2021-04-11
"572","rec00572",2021-04-15,"BWFCPZB",26,100,"p00572",2021-04-11
"573","rec00573",2021-04-19,"SABLEIM",40,100,"p00573",2021-04-12
"574","rec00574",2021-05-04,"WRPOXSQ",23,100,"p00574",2021-04-12
"575","rec00575",2021-04-20,"DXBCRIG",40,100,"p00575",2021-04-12
"576","rec00576",2021-05-21,"GMFJVXK",39,100,"p00576",2021-04-12
"577","rec00577",2021-04-17,"RYJGRGI",23,100,"p00577",2021-04-12
"578","rec00578",2021-04-16,"JIWGGUL",33,100,"p00578",2021-04-12
"579","rec00579",2021-05-05,"NCFOHJJ",36,100,"p00579",2021-04-12
"580","rec00580",2021-05-01,"ZLBJNEZ",21,100,"p00580",2021-04-12
"581","rec00581",2021-05-03,"HREBITI",25,100,"p00581",2021-04-12
"582","rec00582",2021-04-19,"SCBAPOA",38,100,"p00582",2021-04-12
"583","rec00583",2021-04-26,"OYQLKZP",24,100,"p00583",2021-04-12
"584","rec00584",2021-05-03,"TEQANUF",29,100,"p00584",2021-04-12
"585","rec00585",2021-04-29,"NIAMIYQ",26,100,"p00585",2021-04-12
"586","rec00586",2021-04-29,"RYGRNRJ",36,100,"p00586",2021-04-12
"587","rec00587",2021-04-21,"OQNYFMV",25,100,"p00587",2021-04-12
"588","rec00588",2021-05-04,"UQNSAXO",27,100,"p00588",2021-04-12
"589","rec00589",2021-05-02,"WOZOSPG",36,100,"p00589",2021-04-12
"590","rec00590",2021-04-27,"RRRPRSV",26,100,"p00590",2021-04-13
"591","rec00591",2021-04-23,"BDZINJJ",23,100,"p00591",2021-04-13
"592","rec00592",2021-04-30,"VSEXTLV",30,100,"p00592",2021-04-13
"593","rec00593",2021-04-16,"YNLPIYI",38,100,"p00593",2021-04-13
"594","rec00594",2021-04-14,"YJSTVXL",23,100,"p00594",2021-04-13
"595","rec00595",2021-04-14,"EJHCCDU",31,100,"p00595",2021-04-13
"596","rec00596",2021-05-01,"SSGQIJK",30,100,"p00596",2021-04-13
"597","rec00597",2021-04-16,"IJAHYIW",33,100,"p00597",2021-04-13
"598","rec00598",2021-05-30,"JITSTDW",33,100,"p00598",2021-04-13
"599","rec00599",2021-05-07,"DKKXEOH",29,100,"p00599",2021-04-13
"600","rec00600",2021-04-14,"OOYJHIP",28,100,"p00600",2021-04-13
"601","rec00601",2021-05-25,"KYSVFLC",29,100,"p00601",2021-04-14
"602","rec00602",2021-05-02,"YWEFIEX",32,100,"p00602",2021-04-14
"603","rec00603",2021-05-13,"LMTTGVJ",32,100,"p00603",2021-04-14
"604","rec00604",2021-04-25,"GUNUTYJ",27,100,"p00604",2021-04-14
"605","rec00605",2021-05-02,"SFFUQMA",22,100,"p00605",2021-04-14
"606","rec00606",2021-04-22,"IDOFTRN",30,100,"p00606",2021-04-14
"607","rec00607",2021-04-24,"STJEXNR",35,100,"p00607",2021-04-14
"608","rec00608",2021-04-15,"RWIFTAB",30,100,"p00608",2021-04-14
"609","rec00609",2021-05-14,"CYHGAIF",25,100,"p00609",2021-04-14
"610","rec00610",2021-05-05,"JWVNKMD",26,100,"p00610",2021-04-14
"611","rec00611",2021-04-23,"TMOUMSZ",34,100,"p00611",2021-04-14
"612","rec00612",2021-04-15,"XHKBEBN",28,100,"p00612",2021-04-14
"613","rec00613",2021-04-15,"FNKOHGS",40,100,"p00613",2021-04-14
"614","rec00614",2021-04-20,"PSFUVEK",33,100,"p00614",2021-04-14
"615","rec00615",2021-04-23,"PAACBTA",34,100,"p00615",2021-04-14
"616","rec00616",2021-04-23,"JTGPCMX",39,100,"p00616",2021-04-14
"617","rec00617",2021-04-15,"IOZREKB",25,100,"p00617",2021-04-15
"618","rec00618",2021-04-16,"OFNMEOY",44,100,"p00618",2021-04-15
"619","rec00619",2021-04-17,"CGYEJHC",26,100,"p00619",2021-04-15
"620","rec00620",2021-04-20,"AMKIUKC",27,100,"p00620",2021-04-15
"621","rec00621",2021-05-07,"KNGEOMD",25,100,"p00621",2021-04-15
"622","rec00622",2021-04-18,"JNTUFML",25,100,"p00622",2021-04-15
"623","rec00623",2021-04-18,"RYZQTMR",31,100,"p00623",2021-04-16
"624","rec00624",2021-04-20,"PSDMAYX",29,100,"p00624",2021-04-16
"625","rec00625",2021-05-04,"RCZTEFC",21,100,"p00625",2021-04-16
"626","rec00626",2021-04-25,"BOVBXMP",24,100,"p00626",2021-04-16
"627","rec00627",2021-05-07,"ZTGZKTM",34,100,"p00627",2021-04-16
"628","rec00628",2021-04-22,"SIVQGAB",31,100,"p00628",2021-04-16
"629","rec00629",2021-04-18,"YIFSAZZ",26,100,"p00629",2021-04-16
"630","rec00630",2021-05-12,"XIAMGCY",26,100,"p00630",2021-04-16
"631","rec00631",2021-05-15,"PJRXZDR",39,100,"p00631",2021-04-16
"632","rec00632",2021-04-25,"VIAEIPW",30,100,"p00632",2021-04-16
"633","rec00633",2021-04-22,"QUJOHOK",26,100,"p00633",2021-04-16
"634","rec00634",2021-05-02,"PXGFMAV",27,100,"p00634",2021-04-16
"635","rec00635",2021-07-03,"LLMQWUG",37,100,"p00635",2021-04-16
"636","rec00636",2021-04-26,"UUDHWLQ",28,100,"p00636",2021-04-16
"637","rec00637",2021-04-18,"YLPXDLT",28,100,"p00637",2021-04-17
"638","rec00638",2021-05-11,"JTCSYCT",28,100,"p00638",2021-04-17
"639","rec00639",2021-04-30,"VKNQIEZ",25,100,"p00639",2021-04-17
"640","rec00640",2021-05-27,"MRVTGQF",26,100,"p00640",2021-04-17
"641","rec00641",2021-04-20,"ITYQURY",27,100,"p00641",2021-04-17
"642","rec00642",2021-04-27,"EKAWORI",36,100,"p00642",2021-04-17
"643","rec00643",2021-04-22,"JLWSYMZ",29,100,"p00643",2021-04-17
"644","rec00644",2021-05-10,"MOCIDDP",38,100,"p00644",2021-04-17
"645","rec00645",2021-04-28,"EAUSKUN",19,100,"p00645",2021-04-17
"646","rec00646",2021-04-20,"OOPNKVT",27,100,"p00646",2021-04-17
"647","rec00647",2021-05-02,"WKEOANB",22,100,"p00647",2021-04-17
"648","rec00648",2021-04-20,"ZQUOHES",30,100,"p00648",2021-04-17
"649","rec00649",2021-05-25,"ASEQMYX",32,100,"p00649",2021-04-18
"650","rec00650",2021-04-23,"DZYOEZX",36,100,"p00650",2021-04-18
"651","rec00651",2021-05-20,"CESMDML",24,100,"p00651",2021-04-18
"652","rec00652",2021-04-25,"YBKUMMI",25,100,"p00652",2021-04-18
"653","rec00653",2021-05-13,"YYKNTSI",30,100,"p00653",2021-04-18
"654","rec00654",2021-04-27,"RSZFPAG",21,100,"p00654",2021-04-18
"655","rec00655",2021-04-29,"SSJFRHE",33,100,"p00655",2021-04-18
"656","rec00656",2021-04-25,"YYTIJCT",35,100,"p00656",2021-04-18
"657","rec00657",2021-04-23,"LXCWBNY",33,100,"p00657",2021-04-18
"658","rec00658",2021-04-25,"COYQQTQ",22,100,"p00658",2021-04-18
"659","rec00659",2021-05-06,"UVPPMXZ",29,100,"p00659",2021-04-19
"660","rec00660",2021-04-27,"ZDDZJZA",26,100,"p00660",2021-04-19
"661","rec00661",2021-04-20,"DLBVARC",36,100,"p00661",2021-04-19
"662","rec00662",2021-05-17,"ZFAGHES",32,100,"p00662",2021-04-19
"663","rec00663",2021-04-24,"QCHYEUX",26,100,"p00663",2021-04-19
"664","rec00664",2021-06-16,"TQXQNTD",34,100,"p00664",2021-04-19
"665","rec00665",2021-05-25,"TYVWJLG",38,100,"p00665",2021-04-19
"666","rec00666",2021-04-20,"WSFIDKP",39,100,"p00666",2021-04-19
"667","rec00667",2021-05-04,"TFKHSDR",35,100,"p00667",2021-04-19
"668","rec00668",2021-05-15,"YPWRNMO",25,100,"p00668",2021-04-19
"669","rec00669",2021-05-01,"QMCURTP",30,100,"p00669",2021-04-19
"670","rec00670",2021-05-01,"VZOTJXY",27,100,"p00670",2021-04-19
"671","rec00671",2021-05-26,"ZHNLFDZ",26,100,"p00671",2021-04-19
"672","rec00672",2021-05-01,"NNDTADQ",33,100,"p00672",2021-04-19
"673","rec00673",2021-04-21,"IRRMNIC",40,100,"p00673",2021-04-19
"674","rec00674",2021-04-22,"SWFVFGG",36,100,"p00674",2021-04-20
"675","rec00675",2021-04-21,"BGFORMF",24,100,"p00675",2021-04-20
"676","rec00676",2021-05-04,"CMRYCZC",33,100,"p00676",2021-04-20
"677","rec00677",2021-05-02,"VGLMRZA",31,100,"p00677",2021-04-20
"678","rec00678",2021-05-23,"UXEDWLL",25,100,"p00678",2021-04-20
"679","rec00679",2021-04-26,"MOVZQZU",41,100,"p00679",2021-04-20
"680","rec00680",2021-04-27,"PIUCJPK",31,100,"p00680",2021-04-20
"681","rec00681",2021-05-11,"RZNLMOK",31,100,"p00681",2021-04-20
"682","rec00682",2021-04-30,"OVEWHKG",29,100,"p00682",2021-04-20
"683","rec00683",2021-04-25,"XSFEYPO",29,100,"p00683",2021-04-20
"684","rec00684",2021-04-21,"PGSNMCT",19,100,"p00684",2021-04-21
"685","rec00685",2021-04-22,"GNOQUOB",28,100,"p00685",2021-04-21
"686","rec00686",2021-04-24,"JOPBZOY",25,100,"p00686",2021-04-21
"687","rec00687",2021-05-14,"YWBPDCJ",39,100,"p00687",2021-04-21
"688","rec00688",2021-04-25,"MGIHQCY",28,100,"p00688",2021-04-21
"689","rec00689",2021-04-24,"KQQIBBJ",32,100,"p00689",2021-04-21
"690","rec00690",2021-05-30,"XWFLVUZ",33,100,"p00690",2021-04-21
"691","rec00691",2021-04-22,"WUSWXXN",35,100,"p00691",2021-04-21
"692","rec00692",2021-06-08,"APMYZOY",21,100,"p00692",2021-04-21
"693","rec00693",2021-04-21,"UTUSOYO",40,100,"p00693",2021-04-21
"694","rec00694",2021-04-23,"VDMNHIQ",29,100,"p00694",2021-04-21
"695","rec00695",2021-04-27,"GALBYHS",24,100,"p00695",2021-04-21
"696","rec00696",2021-05-01,"NAAHQUY",30,100,"p00696",2021-04-21
"697","rec00697",2021-05-23,"VSJJUIG",28,100,"p00697",2021-04-22
