"","disbursement_no","disbursement_date","sku","no_units_ordered","unit_cost","ap_no","ap_date"
"340","dis00340",2021-05-11,"IRULFJS",100,32,"ap00340",2021-05-05
"341","dis00341",2021-05-19,"XWIVBQC",100,28,"ap00341",2021-04-01
"342","dis00342",2021-04-11,"RZFLQYR",100,30,"ap00342",2021-04-05
"343","dis00343",2021-06-06,"LUZQZTB",100,34,"ap00343",2021-04-19
"344","dis00344",2021-04-27,"CHPUIXH",100,29,"ap00344",2021-03-25
"345","dis00345",2021-05-27,"OZVFQYT",100,28,"ap00345",2021-03-30
"346","dis00346",2022-01-20,"YKSHAPY",100,33,"ap00346",2021-04-04
"347","dis00347",2021-07-13,"CVTAJDH",100,34,"ap00347",2021-03-30
"348","dis00348",2021-04-26,"LAHDFVE",100,21,"ap00348",2021-03-27
"349","dis00349",2021-04-30,"JLJCCDG",100,28,"ap00349",2021-03-29
"350","dis00350",2021-07-24,"SDQJMPT",100,30,"ap00350",2021-04-11
"351","dis00351",2021-04-20,"BBVKGVN",100,42,"ap00351",2021-04-07
"352","dis00352",2021-07-27,"BNCZSBG",100,24,"ap00352",2021-04-25
"353","dis00353",2021-05-23,"NMKCASH",100,30,"ap00353",2021-04-10
"354","dis00354",2021-06-23,"GKMUKER",100,29,"ap00354",2021-03-29
"355","dis00355",2021-10-30,"TPCVNKA",100,26,"ap00355",2021-04-10
"356","dis00356",2021-04-27,"TFTNWPP",100,33,"ap00356",2021-04-10
"357","dis00357",2021-08-23,"JXBKELB",100,30,"ap00357",2021-04-14
"358","dis00358",2021-06-20,"QIXIGKB",100,31,"ap00358",2021-04-20
"359","dis00359",2021-04-23,"CJBGRWO",100,32,"ap00359",2021-03-30
"360","dis00360",2021-05-02,"JHHKRXR",100,30,"ap00360",2021-03-30
"361","dis00361",2021-05-04,"TXLLIBD",100,30,"ap00361",2021-04-01
"362","dis00362",2021-07-18,"UQTIPFY",100,31,"ap00362",2021-05-31
"363","dis00363",2021-10-10,"MCNOLPW",100,34,"ap00363",2021-04-06
"364","dis00364",2021-05-23,"YJFIGRB",100,41,"ap00364",2021-04-27
"365","dis00365",2021-06-07,"FCCLMUJ",100,35,"ap00365",2021-04-07
"366","dis00366",2021-07-06,"COSVCQZ",100,22,"ap00366",2021-04-22
"367","dis00367",2021-08-06,"DNCFXFI",100,30,"ap00367",2021-04-03
"368","dis00368",2021-05-24,"SKSLVXC",100,37,"ap00368",2021-04-16
"369","dis00369",2021-06-12,"QFGDBEV",100,31,"ap00369",2021-03-29
"370","dis00370",2021-06-12,"RMXGKDS",100,40,"ap00370",2021-04-14
"371","dis00371",2021-04-16,"LDXQGDP",100,32,"ap00371",2021-04-05
"372","dis00372",2021-06-08,"JUICJYE",100,30,"ap00372",2021-03-30
"373","dis00373",2021-04-18,"EMZJEAI",100,31,"ap00373",2021-03-31
"374","dis00374",2021-06-01,"ZQDOWGJ",100,22,"ap00374",2021-05-27
"375","dis00375",2021-05-31,"VNTYNAT",100,26,"ap00375",2021-04-01
"376","dis00376",2021-05-21,"NZYVDBZ",100,26,"ap00376",2021-04-04
"377","dis00377",2021-07-10,"AUTRSRF",100,21,"ap00377",2021-04-18
"378","dis00378",2021-04-27,"UHQWAYW",100,27,"ap00378",2021-03-29
"379","dis00379",2021-07-04,"NAGIFVZ",100,36,"ap00379",2021-05-05
"380","dis00380",2021-05-05,"DNZKHES",100,27,"ap00380",2021-03-29
"381","dis00381",2021-04-22,"CHELCST",100,24,"ap00381",2021-04-16
"382","dis00382",2021-06-24,"CNWBZQG",100,27,"ap00382",2021-04-08
"383","dis00383",2021-04-06,"CIHTBFO",100,40,"ap00383",2021-04-06
"384","dis00384",2021-05-05,"UFKQHPZ",100,37,"ap00384",2021-04-20
"385","dis00385",2021-06-03,"QNIEQWZ",100,37,"ap00385",2021-03-30
"386","dis00386",2021-07-24,"HWDIAAC",100,25,"ap00386",2021-04-01
"387","dis00387",2021-04-09,"IFZUXDV",100,28,"ap00387",2021-04-10
"388","dis00388",2021-08-19,"UJMUJYN",100,36,"ap00388",2021-04-21
"389","dis00389",2021-05-09,"WBSAVLO",100,20,"ap00389",2021-03-31
"390","dis00390",2021-06-07,"DHXSUCF",100,29,"ap00390",2021-04-11
"391","dis00391",2021-06-16,"JTDUJAK",100,27,"ap00391",2021-04-13
"392","dis00392",2021-04-18,"QBIMSBM",100,34,"ap00392",2021-04-09
"393","dis00393",2022-01-05,"YYGLXIS",100,33,"ap00393",2021-04-11
"394","dis00394",2021-04-18,"KVPMKRG",100,33,"ap00394",2021-04-09
"395","dis00395",2021-05-12,"DJYHXZE",100,33,"ap00395",2021-04-18
"396","dis00396",2021-07-14,"HGASBLF",100,24,"ap00396",2021-04-15
"397","dis00397",2021-08-19,"HHXKGEL",100,21,"ap00397",2021-04-21
"398","dis00398",2021-07-10,"NQYOVOP",100,39,"ap00398",2021-04-05
"399","dis00399",2021-08-18,"NLIQLCY",100,26,"ap00399",2021-04-11
"400","dis00400",2021-05-09,"TRKTUQE",100,31,"ap00400",2021-04-04
"401","dis00401",2021-04-27,"TTPKYJR",100,27,"ap00401",2021-04-07
"402","dis00402",2021-06-20,"QMHYJEX",100,42,"ap00402",2021-04-10
"403","dis00403",2021-07-01,"ZZXIYOG",100,22,"ap00403",2021-04-07
"404","dis00404",2021-04-24,"SALWCWL",100,37,"ap00404",2021-04-14
"405","dis00405",2021-04-26,"NLBBRRS",100,32,"ap00405",2021-04-12
"406","dis00406",2021-11-01,"CMJNYFN",100,31,"ap00406",2021-05-05
"407","dis00407",2021-06-07,"LJWCQSE",100,22,"ap00407",2021-04-03
"408","dis00408",2021-08-04,"PYLGHKK",100,31,"ap00408",2021-05-23
"409","dis00409",2021-07-30,"RNHTFLN",100,26,"ap00409",2021-04-17
"410","dis00410",2021-05-08,"EHVPULC",100,26,"ap00410",2021-04-14
"411","dis00411",2021-07-24,"EUAGXWP",100,20,"ap00411",2021-04-05
"412","dis00412",2021-05-18,"ECUDQQP",100,29,"ap00412",2021-04-04
"413","dis00413",2021-07-31,"NYEBCLF",100,28,"ap00413",2021-04-29
"414","dis00414",2021-12-14,"BPRSUSB",100,28,"ap00414",2021-04-02
"415","dis00415",2022-01-17,"NWJRMHP",100,25,"ap00415",2021-04-04
"416","dis00416",2021-06-14,"XNJZOPC",100,23,"ap00416",2021-04-16
"417","dis00417",2022-01-06,"RYQWXKC",100,34,"ap00417",2021-04-22
"418","dis00418",2021-09-27,"ATSHOYI",100,36,"ap00418",2021-05-21
"419","dis00419",2021-05-03,"KATKSUK",100,19,"ap00419",2021-04-09
"420","dis00420",2021-04-24,"ZHMHASO",100,30,"ap00420",2021-04-04
"421","dis00421",2021-05-27,"OLPNNCT",100,31,"ap00421",2021-04-06
"422","dis00422",2021-04-09,"SJAUHQH",100,37,"ap00422",2021-04-08
"423","dis00423",2021-09-14,"HQRQXTL",100,29,"ap00423",2021-04-16
"424","dis00424",2021-12-01,"JTKJJBA",100,27,"ap00424",2021-06-19
"425","dis00425",2021-04-17,"INDYBRZ",100,43,"ap00425",2021-04-16
"426","dis00426",2021-07-14,"XLRKWVA",100,31,"ap00426",2021-04-02
"427","dis00427",2021-07-07,"BYIDVQD",100,25,"ap00427",2021-04-14
"428","dis00428",2021-04-08,"QUXDQRH",100,26,"ap00428",2021-04-07
"429","dis00429",2021-04-14,"URKXWEN",100,22,"ap00429",2021-04-07
"430","dis00430",2021-08-15,"TJDBHGE",100,32,"ap00430",2021-04-15
"431","dis00431",2021-07-04,"AMQVIAL",100,41,"ap00431",2021-05-08
"432","dis00432",2021-07-08,"PQEAEBU",100,40,"ap00432",2021-04-21
"433","dis00433",2021-07-11,"ACDOAAZ",100,27,"ap00433",2021-04-11
"434","dis00434",2022-04-04,"AWZROHL",100,24,"ap00434",2021-04-23
"435","dis00435",2021-08-09,"IGHOGDG",100,27,"ap00435",2021-04-30
"436","dis00436",2021-09-30,"HEEXAXP",100,25,"ap00436",2021-04-06
"437","dis00437",2021-08-10,"MMXSZAQ",100,36,"ap00437",2021-04-29
"438","dis00438",2021-06-06,"YPNPGIS",100,19,"ap00438",2021-04-21
"439","dis00439",2021-08-24,"KDVZVRR",100,29,"ap00439",2021-04-08
"440","dis00440",2021-04-17,"FOLPURS",100,37,"ap00440",2021-04-06
"441","dis00441",2021-05-13,"RBJRJDG",100,26,"ap00441",2021-04-08
"442","dis00442",2021-05-23,"WNUCCOD",100,25,"ap00442",2021-05-03
"443","dis00443",2021-09-24,"JRVHXUU",100,24,"ap00443",2021-04-23
"444","dis00444",2021-07-05,"SPMQGGV",100,29,"ap00444",2021-04-24
"445","dis00445",2021-07-03,"HEJPQTP",100,21,"ap00445",2021-04-27
"446","dis00446",2021-07-07,"JRSCBEL",100,40,"ap00446",2021-04-09
"447","dis00447",2021-04-30,"LZJFUOG",100,42,"ap00447",2021-04-04
"448","dis00448",2021-07-01,"UFPNYQU",100,26,"ap00448",2021-04-11
"449","dis00449",2021-11-21,"TBBKPTC",100,25,"ap00449",2021-05-04
"450","dis00450",2021-06-23,"MFZHIXG",100,29,"ap00450",2021-04-17
"451","dis00451",2021-07-18,"NQAHVIF",100,32,"ap00451",2021-05-26
"452","dis00452",2021-05-24,"EGEMKAV",100,27,"ap00452",2021-04-21
"453","dis00453",2021-04-12,"FOOULLS",100,26,"ap00453",2021-04-08
"454","dis00454",2021-09-16,"BKVYYWY",100,26,"ap00454",2021-04-20
"455","dis00455",2021-04-30,"SOEOLLF",100,28,"ap00455",2021-04-06
"456","dis00456",2021-05-05,"LYGGMIQ",100,20,"ap00456",2021-04-06
"457","dis00457",2021-12-13,"GFHJOGM",100,29,"ap00457",2021-06-17
"458","dis00458",2021-04-23,"OLAESIN",100,34,"ap00458",2021-04-18
"459","dis00459",2021-08-26,"VKQLZHW",100,37,"ap00459",2021-04-06
"460","dis00460",2021-04-15,"MPGMAVA",100,31,"ap00460",2021-04-03
"461","dis00461",2021-06-09,"HDQSOJS",100,23,"ap00461",2021-04-03
"462","dis00462",2021-05-08,"LAYGBLC",100,19,"ap00462",2021-04-13
"463","dis00463",2021-10-20,"GKSKGNA",100,35,"ap00463",2021-04-05
"464","dis00464",2021-04-24,"YKPKELC",100,41,"ap00464",2021-04-17
"465","dis00465",2021-10-28,"YNXHEBF",100,36,"ap00465",2021-04-11
"466","dis00466",2021-04-27,"DJCGRXL",100,32,"ap00466",2021-04-05
"467","dis00467",2021-05-12,"JAWCHZI",100,35,"ap00467",2021-04-14
"468","dis00468",2021-07-06,"WXKNEWZ",100,31,"ap00468",2021-04-06
"469","dis00469",2021-10-07,"AONHKJO",100,43,"ap00469",2021-04-21
"470","dis00470",2021-06-05,"FTHFUWN",100,30,"ap00470",2021-05-01
"471","dis00471",2021-09-30,"WZBEWDY",100,34,"ap00471",2021-05-04
"472","dis00472",2021-05-24,"UGTLINX",100,28,"ap00472",2021-04-07
"473","dis00473",2021-08-28,"ULAAPNP",100,19,"ap00473",2021-04-04
"474","dis00474",2021-06-21,"WBTVATB",100,31,"ap00474",2021-04-15
"475","dis00475",2021-04-17,"EWMYSVW",100,25,"ap00475",2021-04-11
"476","dis00476",2021-06-07,"DWHFYBZ",100,21,"ap00476",2021-04-14
"477","dis00477",2021-04-20,"KYBHESB",100,26,"ap00477",2021-04-10
"478","dis00478",2021-09-15,"DIRTWYR",100,34,"ap00478",2021-04-10
"479","dis00479",2021-08-12,"QXCZJWB",100,33,"ap00479",2021-04-12
"480","dis00480",2021-08-07,"JDGPAWW",100,32,"ap00480",2021-04-13
"481","dis00481",2021-09-20,"DRPNGWX",100,37,"ap00481",2021-04-29
"482","dis00482",2021-06-23,"QCWQVIH",100,22,"ap00482",2021-05-03
"483","dis00483",2021-05-06,"SGXWMIM",100,30,"ap00483",2021-04-13
"484","dis00484",2021-07-21,"KGXRRIA",100,31,"ap00484",2021-04-15
"485","dis00485",2021-04-26,"EJFGZQF",100,23,"ap00485",2021-04-12
"486","dis00486",2021-05-30,"RZXAPLE",100,39,"ap00486",2021-04-08
"487","dis00487",2021-05-01,"YNTSDUO",100,27,"ap00487",2021-04-09
"488","dis00488",2021-05-07,"QHVTCKY",100,39,"ap00488",2021-05-07
"489","dis00489",2021-08-16,"MNDBNAC",100,32,"ap00489",2021-04-13
"490","dis00490",2022-01-28,"VPJBCKM",100,28,"ap00490",2021-04-06
"491","dis00491",2021-05-01,"LQAVXXZ",100,31,"ap00491",2021-04-12
"492","dis00492",2021-05-16,"GSMNNGV",100,25,"ap00492",2021-04-10
"493","dis00493",2021-09-04,"JRTDEXE",100,27,"ap00493",2021-04-08
"494","dis00494",2021-04-22,"TNVSDVE",100,27,"ap00494",2021-04-11
"495","dis00495",2021-06-15,"SSTAXQI",100,39,"ap00495",2021-04-13
"496","dis00496",2021-07-12,"PNEPCDU",100,37,"ap00496",2021-04-12
"497","dis00497",2021-05-21,"MRUYHGP",100,37,"ap00497",2021-04-20
"498","dis00498",2021-06-05,"PVUHLMM",100,33,"ap00498",2021-04-11
"499","dis00499",2021-04-30,"TJWFTRB",100,36,"ap00499",2021-04-11
"500","dis00500",2021-11-25,"XJBYESX",100,34,"ap00500",2021-06-10
"501","dis00501",2022-02-15,"FPENHEC",100,27,"ap00501",2021-04-11
"502","dis00502",2021-09-30,"AEQTGRP",100,25,"ap00502",2021-04-08
"503","dis00503",2021-05-05,"XCLUIJE",100,24,"ap00503",2021-04-09
"504","dis00504",2021-08-10,"IHDBAWP",100,37,"ap00504",2021-05-19
"505","dis00505",2021-06-10,"ZLGYUWX",100,22,"ap00505",2021-05-07
"506","dis00506",2022-02-13,"QGBGUZO",100,35,"ap00506",2021-04-11
"507","dis00507",2021-12-02,"UJTIHNT",100,32,"ap00507",2021-05-09
"508","dis00508",2021-04-27,"UHBLIEB",100,33,"ap00508",2021-04-19
"509","dis00509",2021-04-26,"HKFKHHF",100,35,"ap00509",2021-04-25
"510","dis00510",2022-06-10,"NPBSVYF",100,44,"ap00510",2021-04-10
"511","dis00511",2021-05-18,"BISJXTL",100,36,"ap00511",2021-04-10
"512","dis00512",2021-07-08,"AGEZHXM",100,22,"ap00512",2021-04-17
"513","dis00513",2021-05-04,"HKURBVT",100,40,"ap00513",2021-04-27
"514","dis00514",2021-05-11,"DSKRGXD",100,34,"ap00514",2021-04-10
"515","dis00515",2021-06-15,"YMVYEVF",100,25,"ap00515",2021-04-22
"516","dis00516",2021-06-06,"WONXCVF",100,34,"ap00516",2021-05-16
"517","dis00517",2021-07-12,"LJRTVNY",100,36,"ap00517",2021-04-16
"518","dis00518",2021-04-25,"DXVEUKJ",100,43,"ap00518",2021-04-23
"519","dis00519",2021-04-25,"KLXJSDK",100,37,"ap00519",2021-04-18
"520","dis00520",2021-05-26,"WGTTZIU",100,36,"ap00520",2021-04-12
"521","dis00521",2021-05-16,"UWAOAMK",100,27,"ap00521",2021-04-14
"522","dis00522",2021-05-24,"UYEHHZC",100,26,"ap00522",2021-05-08
"523","dis00523",2021-05-15,"OPFUHLG",100,22,"ap00523",2021-04-08
"524","dis00524",2021-06-07,"JKRMNJC",100,29,"ap00524",2021-04-09
"525","dis00525",2021-05-04,"SLTXABC",100,24,"ap00525",2021-04-27
"526","dis00526",2021-11-02,"IBJTJGP",100,28,"ap00526",2021-05-01
"527","dis00527",2021-06-24,"RCAKXTB",100,32,"ap00527",2021-04-11
"528","dis00528",2021-10-17,"LBBIIML",100,22,"ap00528",2021-04-13
"529","dis00529",2021-08-16,"RFCWCRP",100,32,"ap00529",2021-04-11
"530","dis00530",2021-10-30,"ANMHCKF",100,34,"ap00530",2021-06-18
"531","dis00531",2021-04-18,"FBTQBXR",100,26,"ap00531",2021-04-14
"532","dis00532",2021-07-27,"DKEYKOY",100,33,"ap00532",2021-04-30
"533","dis00533",2021-04-11,"ZDBIPKM",100,24,"ap00533",2021-04-10
"534","dis00534",2021-07-24,"GBFFOCJ",100,35,"ap00534",2021-05-09
"535","dis00535",2021-08-06,"ONSZMGW",100,33,"ap00535",2021-04-10
"536","dis00536",2021-09-09,"YLLZVMX",100,39,"ap00536",2021-04-17
"537","dis00537",2021-04-30,"QLWFBBY",100,33,"ap00537",2021-04-27
"538","dis00538",2021-06-24,"NCQEAJW",100,28,"ap00538",2021-05-01
"539","dis00539",2022-04-05,"TSOSUFP",100,42,"ap00539",2021-04-12
"540","dis00540",2021-06-06,"VZTDKWZ",100,27,"ap00540",2021-04-14
"541","dis00541",2021-07-02,"PZNFWMT",100,29,"ap00541",2021-05-04
"542","dis00542",2021-06-10,"BYUGQFX",100,28,"ap00542",2021-04-18
"543","dis00543",2021-05-28,"NNABTST",100,24,"ap00543",2021-04-26
"544","dis00544",2021-04-27,"LPIQMYE",100,19,"ap00544",2021-04-14
"545","dis00545",2021-12-31,"IVXKCAA",100,30,"ap00545",2021-05-22
"546","dis00546",2021-10-17,"YEKUATE",100,38,"ap00546",2021-06-02
"547","dis00547",2021-08-12,"HRKRRLQ",100,26,"ap00547",2021-05-02
"548","dis00548",2021-06-08,"HWMKHSA",100,25,"ap00548",2021-04-16
"549","dis00549",2021-11-23,"QODYCLE",100,35,"ap00549",2021-04-16
"550","dis00550",2021-08-03,"AWOOKVD",100,35,"ap00550",2021-04-17
"551","dis00551",2021-05-30,"ISAKZEC",100,33,"ap00551",2021-05-07
"552","dis00552",2021-07-23,"VMQSEDZ",100,35,"ap00552",2021-04-11
"553","dis00553",2021-07-25,"NRSVPGR",100,38,"ap00553",2021-05-08
"554","dis00554",2021-08-20,"FXJNRKI",100,44,"ap00554",2021-05-07
"555","dis00555",2021-04-23,"IXTTTUP",100,38,"ap00555",2021-04-21
"556","dis00556",2021-08-12,"CPKRKYN",100,21,"ap00556",2021-05-14
"557","dis00557",2021-06-05,"AOHAAQP",100,24,"ap00557",2021-04-19
"558","dis00558",2021-06-07,"KNZKLAS",100,26,"ap00558",2021-05-13
"559","dis00559",2021-09-25,"TXDMNIY",100,34,"ap00559",2021-04-16
"560","dis00560",2021-06-18,"TGMARVF",100,37,"ap00560",2021-04-28
"561","dis00561",2021-05-30,"LOWRKHH",100,27,"ap00561",2021-04-21
"562","dis00562",2021-05-09,"JLDDRXD",100,32,"ap00562",2021-04-20
"563","dis00563",2021-04-30,"TRTFDCF",100,31,"ap00563",2021-04-21
"564","dis00564",2021-06-08,"HKHZFAM",100,30,"ap00564",2021-04-29
"565","dis00565",2021-06-07,"FVDFLIW",100,27,"ap00565",2021-04-14
"566","dis00566",2021-05-10,"ZDEUTFG",100,36,"ap00566",2021-05-04
"567","dis00567",2021-05-11,"FERWNHD",100,29,"ap00567",2021-04-13
"568","dis00568",2021-08-10,"CQJVOIG",100,30,"ap00568",2021-04-15
"569","dis00569",2021-05-23,"LOTXRLQ",100,33,"ap00569",2021-05-11
"570","dis00570",2021-04-24,"CQOZYZD",100,34,"ap00570",2021-04-21
"571","dis00571",2021-05-17,"IBQYOZP",100,39,"ap00571",2021-04-28
"572","dis00572",2021-05-14,"BWFCPZB",100,26,"ap00572",2021-04-16
"573","dis00573",2021-08-21,"SABLEIM",100,40,"ap00573",2021-04-20
"574","dis00574",2021-06-10,"WRPOXSQ",100,23,"ap00574",2021-05-05
"575","dis00575",2021-10-07,"DXBCRIG",100,40,"ap00575",2021-04-21
"576","dis00576",2021-06-08,"GMFJVXK",100,39,"ap00576",2021-05-22
"577","dis00577",2021-06-25,"RYJGRGI",100,23,"ap00577",2021-04-18
"578","dis00578",2021-05-17,"JIWGGUL",100,33,"ap00578",2021-04-17
"579","dis00579",2021-05-31,"NCFOHJJ",100,36,"ap00579",2021-05-06
"580","dis00580",2021-05-02,"ZLBJNEZ",100,21,"ap00580",2021-05-02
"581","dis00581",2021-06-30,"HREBITI",100,25,"ap00581",2021-05-04
"582","dis00582",2021-05-08,"SCBAPOA",100,38,"ap00582",2021-04-20
"583","dis00583",2021-11-29,"OYQLKZP",100,24,"ap00583",2021-04-27
"584","dis00584",2021-07-13,"TEQANUF",100,29,"ap00584",2021-05-04
"585","dis00585",2021-06-22,"NIAMIYQ",100,26,"ap00585",2021-04-30
"586","dis00586",2021-06-14,"RYGRNRJ",100,36,"ap00586",2021-04-30
"587","dis00587",2021-08-08,"OQNYFMV",100,25,"ap00587",2021-04-22
"588","dis00588",2021-05-14,"UQNSAXO",100,27,"ap00588",2021-05-05
"589","dis00589",2021-09-05,"WOZOSPG",100,36,"ap00589",2021-05-03
"590","dis00590",2021-05-10,"RRRPRSV",100,26,"ap00590",2021-04-28
"591","dis00591",2022-03-27,"BDZINJJ",100,23,"ap00591",2021-04-24
"592","dis00592",2021-07-08,"VSEXTLV",100,30,"ap00592",2021-05-01
"593","dis00593",2021-05-25,"YNLPIYI",100,38,"ap00593",2021-04-17
"594","dis00594",2021-06-05,"YJSTVXL",100,23,"ap00594",2021-04-15
"595","dis00595",2021-05-25,"EJHCCDU",100,31,"ap00595",2021-04-15
"596","dis00596",2021-05-07,"SSGQIJK",100,30,"ap00596",2021-05-02
"597","dis00597",2021-05-30,"IJAHYIW",100,33,"ap00597",2021-04-17
"598","dis00598",2021-09-13,"JITSTDW",100,33,"ap00598",2021-05-31
"599","dis00599",2021-06-10,"DKKXEOH",100,29,"ap00599",2021-05-08
"600","dis00600",2021-05-05,"OOYJHIP",100,28,"ap00600",2021-04-15
"601","dis00601",2021-06-10,"KYSVFLC",100,29,"ap00601",2021-05-26
"602","dis00602",2021-10-31,"YWEFIEX",100,32,"ap00602",2021-05-03
"603","dis00603",2021-11-01,"LMTTGVJ",100,32,"ap00603",2021-05-14
"604","dis00604",2021-10-02,"GUNUTYJ",100,27,"ap00604",2021-04-26
"605","dis00605",2022-03-11,"SFFUQMA",100,22,"ap00605",2021-05-03
"606","dis00606",2021-05-26,"IDOFTRN",100,30,"ap00606",2021-04-23
"607","dis00607",2021-06-03,"STJEXNR",100,35,"ap00607",2021-04-25
"608","dis00608",2021-07-22,"RWIFTAB",100,30,"ap00608",2021-04-16
"609","dis00609",2021-06-06,"CYHGAIF",100,25,"ap00609",2021-05-15
"610","dis00610",2021-07-05,"JWVNKMD",100,26,"ap00610",2021-05-06
"611","dis00611",2021-05-02,"TMOUMSZ",100,34,"ap00611",2021-04-24
"612","dis00612",2021-06-06,"XHKBEBN",100,28,"ap00612",2021-04-16
"613","dis00613",2021-04-19,"FNKOHGS",100,40,"ap00613",2021-04-16
"614","dis00614",2021-06-09,"PSFUVEK",100,33,"ap00614",2021-04-21
"615","dis00615",2021-05-10,"PAACBTA",100,34,"ap00615",2021-04-24
"616","dis00616",2021-05-28,"JTGPCMX",100,39,"ap00616",2021-04-24
"617","dis00617",2021-05-04,"IOZREKB",100,25,"ap00617",2021-04-16
"618","dis00618",2021-04-29,"OFNMEOY",100,44,"ap00618",2021-04-17
"619","dis00619",2021-10-11,"CGYEJHC",100,26,"ap00619",2021-04-18
"620","dis00620",2021-06-17,"AMKIUKC",100,27,"ap00620",2021-04-21
"621","dis00621",2021-10-25,"KNGEOMD",100,25,"ap00621",2021-05-08
"622","dis00622",2021-10-25,"JNTUFML",100,25,"ap00622",2021-04-19
"623","dis00623",2021-07-30,"RYZQTMR",100,31,"ap00623",2021-04-19
"624","dis00624",2021-07-30,"PSDMAYX",100,29,"ap00624",2021-04-21
"625","dis00625",2021-10-27,"RCZTEFC",100,21,"ap00625",2021-05-05
"626","dis00626",2021-06-09,"BOVBXMP",100,24,"ap00626",2021-04-26
"627","dis00627",2021-09-03,"ZTGZKTM",100,34,"ap00627",2021-05-08
"628","dis00628",2021-07-23,"SIVQGAB",100,31,"ap00628",2021-04-23
"629","dis00629",2021-04-24,"YIFSAZZ",100,26,"ap00629",2021-04-19
"630","dis00630",2021-10-29,"XIAMGCY",100,26,"ap00630",2021-05-13
"631","dis00631",2021-06-22,"PJRXZDR",100,39,"ap00631",2021-05-16
"632","dis00632",2021-04-29,"VIAEIPW",100,30,"ap00632",2021-04-26
"633","dis00633",2021-07-02,"QUJOHOK",100,26,"ap00633",2021-04-23
"634","dis00634",2021-05-23,"PXGFMAV",100,27,"ap00634",2021-05-03
"635","dis00635",2021-09-20,"LLMQWUG",100,37,"ap00635",2021-07-04
"636","dis00636",2021-04-28,"UUDHWLQ",100,28,"ap00636",2021-04-27
"637","dis00637",2021-08-05,"YLPXDLT",100,28,"ap00637",2021-04-19
"638","dis00638",2021-06-12,"JTCSYCT",100,28,"ap00638",2021-05-12
"639","dis00639",2021-07-27,"VKNQIEZ",100,25,"ap00639",2021-05-01
"640","dis00640",2021-09-05,"MRVTGQF",100,26,"ap00640",2021-05-28
"641","dis00641",2021-05-27,"ITYQURY",100,27,"ap00641",2021-04-21
"642","dis00642",2021-06-05,"EKAWORI",100,36,"ap00642",2021-04-28
"643","dis00643",2021-11-06,"JLWSYMZ",100,29,"ap00643",2021-04-23
"644","dis00644",2021-08-19,"MOCIDDP",100,38,"ap00644",2021-05-11
"645","dis00645",2021-07-28,"EAUSKUN",100,19,"ap00645",2021-04-29
"646","dis00646",2021-07-12,"OOPNKVT",100,27,"ap00646",2021-04-21
"647","dis00647",2021-05-11,"WKEOANB",100,22,"ap00647",2021-05-03
"648","dis00648",2021-07-02,"ZQUOHES",100,30,"ap00648",2021-04-21
"649","dis00649",2021-06-23,"ASEQMYX",100,32,"ap00649",2021-05-26
"650","dis00650",2021-09-12,"DZYOEZX",100,36,"ap00650",2021-04-24
"651","dis00651",2021-07-12,"CESMDML",100,24,"ap00651",2021-05-21
"652","dis00652",2021-10-30,"YBKUMMI",100,25,"ap00652",2021-04-26
"653","dis00653",2021-06-05,"YYKNTSI",100,30,"ap00653",2021-05-14
"654","dis00654",2021-07-05,"RSZFPAG",100,21,"ap00654",2021-04-28
"655","dis00655",2021-06-15,"SSJFRHE",100,33,"ap00655",2021-04-30
"656","dis00656",2021-05-15,"YYTIJCT",100,35,"ap00656",2021-04-26
"657","dis00657",2021-09-01,"LXCWBNY",100,33,"ap00657",2021-04-24
"658","dis00658",2021-09-05,"COYQQTQ",100,22,"ap00658",2021-04-26
"659","dis00659",2021-05-31,"UVPPMXZ",100,29,"ap00659",2021-05-07
"660","dis00660",2021-05-06,"ZDDZJZA",100,26,"ap00660",2021-04-28
"661","dis00661",2021-07-13,"DLBVARC",100,36,"ap00661",2021-04-21
"662","dis00662",2021-08-18,"ZFAGHES",100,32,"ap00662",2021-05-18
"663","dis00663",2021-07-22,"QCHYEUX",100,26,"ap00663",2021-04-25
"664","dis00664",2021-06-24,"TQXQNTD",100,34,"ap00664",2021-06-17
"665","dis00665",2021-06-16,"TYVWJLG",100,38,"ap00665",2021-05-26
"666","dis00666",2021-06-08,"WSFIDKP",100,39,"ap00666",2021-04-21
"667","dis00667",2021-11-05,"TFKHSDR",100,35,"ap00667",2021-05-05
"668","dis00668",2021-05-31,"YPWRNMO",100,25,"ap00668",2021-05-16
"669","dis00669",2021-10-03,"QMCURTP",100,30,"ap00669",2021-05-02
"670","dis00670",2021-06-24,"VZOTJXY",100,27,"ap00670",2021-05-02
"671","dis00671",2022-01-05,"ZHNLFDZ",100,26,"ap00671",2021-05-27
"672","dis00672",2021-05-15,"NNDTADQ",100,33,"ap00672",2021-05-02
"673","dis00673",2021-10-10,"IRRMNIC",100,40,"ap00673",2021-04-22
"674","dis00674",2021-06-03,"SWFVFGG",100,36,"ap00674",2021-04-23
"675","dis00675",2021-07-08,"BGFORMF",100,24,"ap00675",2021-04-22
"676","dis00676",2022-03-15,"CMRYCZC",100,33,"ap00676",2021-05-05
"677","dis00677",2021-10-16,"VGLMRZA",100,31,"ap00677",2021-05-03
"678","dis00678",2021-07-18,"UXEDWLL",100,25,"ap00678",2021-05-24
"679","dis00679",2021-05-27,"MOVZQZU",100,41,"ap00679",2021-04-27
