"no","customer_no","invoice_no","amount","shipper_no","shipper_date"
"79524","c00420","i79675",125,"s77705",2021-10-21
"79525","c00637","i79671",30,"s77706",2021-10-21
"79526","c00430","i79511",384,"s77707",2021-10-21
"79527","c00852","i79500",522,"s77708",2021-10-21
"79528","c00776","i79705",0,"s77709",2021-10-21
"79529","c00519","i79517",370,"s77710",2021-10-21
"79543","c00482","i79644",390,"s77989",2021-10-22
"79544","c00934","i79713",120,"s77990",2021-10-22
"79553","c00615","i79670",32,"s78218",2021-10-23
"79554","c00579","i79646",264,"s78219",2021-10-23
"79555","c00054","i79691",150,"s78220",2021-10-23
"79563","c00272","i79615",360,"s78459",2021-10-24
"79564","c00865","i79664",198,"s78460",2021-10-24
"79565","c00888","i79557",180,"s78461",2021-10-24
"79577","c00600","i79655",0,"s78740",2021-10-25
"79578","c00883","i79687",126,"s78741",2021-10-25
"79589","c00244","i79527",42,"s79010",2021-10-26
"79590","c00025","i79493",0,"s79011",2021-10-26
"79591","c00777","i79585",152,"s79012",2021-10-26
"79600","c00281","i79457",84,"s79254",2021-10-27
"79601","c00089","i79663",198,"s79255",2021-10-27
"79602","c00534","i79502",0,"s79256",2021-10-27
"79603","c00992","i79520",72,"s79257",2021-10-27
"79604","c00033","i79689",50,"s79258",2021-10-27
"79613","c00245","i79710",0,"s79506",2021-10-28
"79614","c00205","i79637",465,"s79507",2021-10-28
"79615","c00428","i79507",296,"s79508",2021-10-28
"79620","c00014","i79631",23,"s79774",2021-10-29
"79621","c00516","i79626",392,"s79775",2021-10-29
"79626","c00985","i79708",88,"s80064",2021-10-30
"79627","c00933","i79707",156,"s80065",2021-10-30
"79632","c00888","i79659",126,"s80332",2021-10-31
"79635","c00073","i79503",336,"s80585",2021-11-01
"79636","c00943","i79618",78,"s80586",2021-11-01
"79637","c00594","i79669",162,"s80587",2021-11-01
"79638","c00656","i79601",62,"s80588",2021-11-01
"79642","c00500","i79492",256,"s80838",2021-11-02
"79643","c00595","i79682",252,"s80839",2021-11-02
"79644","c00716","i79679",408,"s80840",2021-11-02
"79651","c00442","i79706",44,"s81122",2021-11-03
"79655","c00887","i79485",112,"s81399",2021-11-04
"79656","c00511","i79690",117,"s81400",2021-11-04
"79661","c00997","i79606",112,"s81655",2021-11-05
"79662","c00364","i79642",52,"s81932",2021-11-06
"79668","c00386","i79640",114,"s82506",2021-11-08
"79675","c00759","i79454",96,"s82793",2021-11-09
"79676","c00721","i79643",384,"s82794",2021-11-09
"79684","c00107","i79619",144,"s83086",2021-11-10
"79685","c00883","i79463",81,"s83087",2021-11-10
"79687","c00765","i79461",336,"s83357",2021-11-11
"79699","c00175","i79531",78,"s84715",2021-11-16
"79701","c00172","i79578",204,"s84972",2021-11-17
"79704","c00571","i79523",186,"s85761",2021-11-20
"79705","c00447","i79559",240,"s86286",2021-11-22
"79706","c00175","i79567",0,"s86287",2021-11-22
"79707","c00986","i79484",420,"s86812",2021-11-24
"79708","c00475","i79466",96,"s86813",2021-11-24
"79709","c00594","i79688",0,"s87074",2021-11-25
"79711","c00746","i79465",156,"s87337",2021-11-26
"79712","c00224","i79614",25,"s89566",2021-12-04
"79713","c00032","i79697",234,"s89567",2021-12-04
"79715","c00670","i79519",0,"s91808",2021-12-12
"79725","c00476","i79819",28,"s77215",2021-10-19
"79726","c00507","i79871",69,"s77216",2021-10-19
"79727","c00545","i79804",0,"s77217",2021-10-19
"79728","c00009","i79800",70,"s77218",2021-10-19
"79749","c00508","i79783",528,"s77489",2021-10-20
"79750","c00435","i79867",0,"s77490",2021-10-20
"79751","c00080","i79771",216,"s77491",2021-10-20
"79752","c00851","i79730",0,"s77492",2021-10-20
"79754","c00918","i79891",116,"s77494",2021-10-20
"79755","c00052","i79842",144,"s77495",2021-10-20
"79757","c00319","i79910",84,"s77497",2021-10-20
"79778","c00566","i79803",128,"s77731",2021-10-21
"79779","c00499","i79971",348,"s77732",2021-10-21
"79780","c00700","i79985",104,"s77733",2021-10-21
"79781","c00478","i79738",42,"s77734",2021-10-21
"79797","c00211","i79976",30,"s78006",2021-10-22
"79798","c00106","i79741",96,"s78007",2021-10-22
"79799","c00175","i79791",38,"s78008",2021-10-22
"79800","c00658","i79915",234,"s78009",2021-10-22
"79801","c00528","i79846",68,"s78010",2021-10-22
"79802","c00511","i79922",104,"s78011",2021-10-22
"79803","c00072","i79726",168,"s78012",2021-10-22
"79821","c00385","i79823",72,"s78238",2021-10-23
"79822","c00797","i79820",24,"s78239",2021-10-23
"79823","c00949","i79818",66,"s78240",2021-10-23
"79825","c00930","i79945",208,"s78242",2021-10-23
"79826","c00361","i79904",0,"s78243",2021-10-23
"79827","c00508","i79898",324,"s78244",2021-10-23
"79828","c00052","i79901",64,"s78245",2021-10-23
"79840","c00693","i79873",336,"s78473",2021-10-24
"79841","c00073","i79916",360,"s78474",2021-10-24
"79842","c00272","i79865",31,"s78475",2021-10-24
"79853","c00498","i79734",288,"s78752",2021-10-25
"79854","c00513","i79796",310,"s78753",2021-10-25
"79861","c00379","i79906",62,"s79018",2021-10-26
"79862","c00582","i79942",315,"s79019",2021-10-26
"79863","c00059","i79831",104,"s79020",2021-10-26
"79864","c00482","i79949",72,"s79021",2021-10-26
"79865","c00673","i79894",144,"s79022",2021-10-26
"79866","c00032","i79758",330,"s79023",2021-10-26
"79877","c00803","i79785",66,"s79269",2021-10-27
"79878","c00343","i79834",360,"s79270",2021-10-27
"79879","c00420","i79769",216,"s79271",2021-10-27
"79880","c00999","i79940",124,"s79272",2021-10-27
"79887","c00287","i79874",0,"s79515",2021-10-28
"79888","c00531","i79926",306,"s79516",2021-10-28
"79898","c00067","i79863",99,"s79785",2021-10-29
"79899","c00765","i79821",116,"s79786",2021-10-29
"79900","c00522","i79881",40,"s79787",2021-10-29
"79901","c00920","i79870",174,"s79788",2021-10-29
"79902","c00162","i79947",42,"s79789",2021-10-29
"79911","c00083","i79970",225,"s80074",2021-10-30
"79912","c00779","i79934",420,"s80075",2021-10-30
"79913","c00392","i79780",256,"s80076",2021-10-30
"79914","c00382","i79862",54,"s80077",2021-10-30
"79920","c00601","i79789",128,"s80592",2021-11-01
"79924","c00454","i79872",96,"s80844",2021-11-02
"79925","c00481","i79888",25,"s80845",2021-11-02
"79935","c00199","i79987",243,"s81132",2021-11-03
"79939","c00496","i79864",38,"s81404",2021-11-04
"79943","c00561","i79980",0,"s81659",2021-11-05
"79944","c00413","i79967",51,"s81660",2021-11-05
"79951","c00992","i79859",128,"s81939",2021-11-06
"79952","c00989","i79843",0,"s81940",2021-11-06
"79962","c00441","i79933",58,"s82510",2021-11-08
"79963","c00921","i79720",232,"s82511",2021-11-08
"79965","c00997","i79762",105,"s82797",2021-11-09
"79966","c00432","i79808",0,"s82798",2021-11-09
"79967","c00354","i79825",272,"s83088",2021-11-10
"79970","c00297","i79854",138,"s83360",2021-11-11
"79977","c00301","i79978",74,"s84176",2021-11-14
"79981","c00986","i79743",75,"s85218",2021-11-18
"79983","c00603","i79747",62,"s85762",2021-11-20
"79988","c00158","i79751",58,"s87622",2021-11-27
"79992","c00903","i79744",0,"s91809",2021-12-12
"80009","c00838","i80260",0,"s77513",2021-10-20
"80010","c00227","i80147",57,"s77514",2021-10-20
"80011","c00575","i80033",198,"s77515",2021-10-20
"80032","c00362","i80060",0,"s77755",2021-10-21
"80033","c00028","i80208",168,"s77756",2021-10-21
"80034","c00039","i80116",168,"s77757",2021-10-21
"80035","c00194","i80200",84,"s77758",2021-10-21
"80036","c00317","i80262",52,"s77759",2021-10-21
"80037","c00491","i80221",0,"s77760",2021-10-21
"80038","c00050","i80056",0,"s77761",2021-10-21
"80039","c00670","i80103",288,"s77762",2021-10-21
"80040","c00974","i80004",140,"s77763",2021-10-21
"80041","c00395","i80079",130,"s77764",2021-10-21
"80062","c00682","i80126",27,"s78033",2021-10-22
"80063","c00071","i80234",0,"s78034",2021-10-22
"80078","c00519","i80029",0,"s78259",2021-10-23
"80079","c00441","i80252",156,"s78260",2021-10-23
"80080","c00032","i80150",50,"s78261",2021-10-23
"80081","c00210","i80044",80,"s78262",2021-10-23
"80082","c00422","i80113",70,"s78263",2021-10-23
"80095","c00690","i80155",192,"s78488",2021-10-24
"80096","c00432","i80224",112,"s78489",2021-10-24
"80097","c00420","i80102",120,"s78490",2021-10-24
"80098","c00796","i80046",69,"s78491",2021-10-24
"80099","c00695","i80016",96,"s78492",2021-10-24
"80100","c00403","i80204",0,"s78493",2021-10-24
"80101","c00669","i80006",180,"s78494",2021-10-24
"80102","c00443","i80134",144,"s78495",2021-10-24
"80103","c00843","i80236",87,"s78496",2021-10-24
"80113","c00518","i80015",120,"s78764",2021-10-25
"80114","c00410","i80258",0,"s78765",2021-10-25
"80115","c00454","i80101",111,"s78766",2021-10-25
"80116","c00455","i80156",108,"s78767",2021-10-25
"80117","c00401","i80080",100,"s78768",2021-10-25
"80118","c00881","i80125",120,"s78769",2021-10-25
"80126","c00876","i80279",54,"s79031",2021-10-26
"80127","c00155","i80055",312,"s79032",2021-10-26
"80128","c00749","i80214",50,"s79033",2021-10-26
"80129","c00380","i80187",396,"s79034",2021-10-26
"80130","c00522","i80202",60,"s79035",2021-10-26
"80138","c00647","i80031",108,"s79280",2021-10-27
"80139","c00031","i80047",0,"s79281",2021-10-27
"80140","c00124","i80131",162,"s79282",2021-10-27
"80141","c00734","i80098",240,"s79283",2021-10-27
"80151","c00102","i80124",90,"s79526",2021-10-28
"80152","c00103","i80107",93,"s79527",2021-10-28
"80153","c00678","i80198",256,"s79528",2021-10-28
"80154","c00464","i80018",76,"s79529",2021-10-28
"80155","c00025","i80230",34,"s79530",2021-10-28
"80169","c00423","i80032",440,"s79803",2021-10-29
"80170","c00049","i80194",108,"s79804",2021-10-29
"80171","c00170","i80112",42,"s79805",2021-10-29
"80182","c00271","i80119",192,"s80088",2021-10-30
"80194","c00150","i80138",60,"s80345",2021-10-31
"80195","c00476","i80130",315,"s80346",2021-10-31
"80199","c00347","i80067",58,"s80596",2021-11-01
"80207","c00144","i80231",240,"s80853",2021-11-02
"80208","c00585","i80068",186,"s80854",2021-11-02
"80212","c00399","i80136",96,"s81136",2021-11-03
"80213","c00930","i80064",348,"s81137",2021-11-03
"80218","c00407","i80266",150,"s81409",2021-11-04
"80219","c00680","i80172",288,"s81410",2021-11-04
"80224","c00239","i80132",96,"s81665",2021-11-05
"80227","c00690","i80040",117,"s81943",2021-11-06
"80234","c00763","i80141",144,"s82218",2021-11-07
"80240","c00155","i80072",128,"s82801",2021-11-09
"80241","c00290","i80186",96,"s82802",2021-11-09
"80247","c00572","i80272",180,"s83093",2021-11-10
"80250","c00768","i80212",270,"s83363",2021-11-11
"80251","c00690","i80206",35,"s83364",2021-11-11
"80256","c00173","i80176",100,"s83641",2021-11-12
"80257","c00685","i80205",0,"s83922",2021-11-13
"80258","c00142","i80063",108,"s84177",2021-11-14
"80260","c00521","i80061",270,"s84460",2021-11-15
"80261","c00068","i80181",180,"s84461",2021-11-15
"80267","c00004","i80106",105,"s85220",2021-11-18
"80274","c00608","i79998",0,"s86029",2021-11-21
"80275","c00792","i80086",525,"s86554",2021-11-23
"80282","c00310","i80111",456,"s91810",2021-12-12
"80292","c00685","i80564",186,"s77773",2021-10-21
"80293","c00765","i80478",200,"s77774",2021-10-21
"80294","c00295","i80292",120,"s77775",2021-10-21
"80295","c00938","i80417",136,"s77776",2021-10-21
"80296","c00355","i80370",468,"s77777",2021-10-21
"80297","c00671","i80337",44,"s77778",2021-10-21
"80298","c00269","i80477",155,"s77779",2021-10-21
"80310","c00526","i80494",0,"s78047",2021-10-22
"80311","c00416","i80526",72,"s78048",2021-10-22
"80312","c00456","i80301",252,"s78049",2021-10-22
"80313","c00849","i80345",88,"s78050",2021-10-22
"80314","c00428","i80355",300,"s78051",2021-10-22
"80315","c00524","i80439",138,"s78052",2021-10-22
"80333","c00158","i80520",72,"s78281",2021-10-23
"80334","c00834","i80401",72,"s78282",2021-10-23
"80336","c00111","i80442",112,"s78284",2021-10-23
"80337","c00445","i80426",69,"s78285",2021-10-23
"80338","c00404","i80500",174,"s78286",2021-10-23
"80356","c00811","i80385",87,"s78514",2021-10-24
"80357","c00487","i80565",312,"s78515",2021-10-24
"80358","c00639","i80390",168,"s78516",2021-10-24
"80359","c00688","i80549",72,"s78517",2021-10-24
"80360","c00800","i80312",0,"s78518",2021-10-24
"80361","c00930","i80467",204,"s78519",2021-10-24
"80362","c00909","i80536",198,"s78520",2021-10-24
"80363","c00918","i80454",48,"s78521",2021-10-24
"80364","c00490","i80416",152,"s78522",2021-10-24
"80365","c00319","i80336",0,"s78523",2021-10-24
"80377","c00210","i80543",256,"s78781",2021-10-25
"80378","c00281","i80441",250,"s78782",2021-10-25
"80379","c00602","i80383",0,"s78783",2021-10-25
"80380","c00685","i80408",84,"s78784",2021-10-25
"80381","c00487","i80434",168,"s78785",2021-10-25
"80382","c00379","i80433",288,"s78786",2021-10-25
"80383","c00291","i80443",140,"s78787",2021-10-25
"80384","c00118","i80529",450,"s78788",2021-10-25
"80398","c00809","i80514",0,"s79049",2021-10-26
"80399","c00512","i80487",96,"s79050",2021-10-26
"80400","c00296","i80523",279,"s79051",2021-10-26
"80401","c00627","i80300",168,"s79052",2021-10-26
"80402","c00156","i80284",144,"s79053",2021-10-26
"80403","c00749","i80460",150,"s79054",2021-10-26
"80404","c00428","i80496",150,"s79055",2021-10-26
"80405","c00593","i80378",78,"s79056",2021-10-26
"80417","c00266","i80344",264,"s79295",2021-10-27
"80418","c00197","i80534",0,"s79296",2021-10-27
"80419","c00392","i80294",24,"s79297",2021-10-27
"80435","c00893","i80480",75,"s79546",2021-10-28
"80436","c00526","i80461",252,"s79547",2021-10-28
"80447","c00498","i80444",30,"s79816",2021-10-29
"80448","c00786","i80527",42,"s79817",2021-10-29
"80458","c00470","i80333",276,"s80099",2021-10-30
"80459","c00659","i80304",0,"s80100",2021-10-30
"80460","c00102","i80342",124,"s80101",2021-10-30
"80461","c00394","i80491",30,"s80102",2021-10-30
"80466","c00476","i80319",36,"s80351",2021-10-31
"80467","c00984","i80326",120,"s80352",2021-10-31
"80476","c00203","i80544",120,"s80605",2021-11-01
"80477","c00826","i80398",280,"s80606",2021-11-01
"80484","c00899","i80361",240,"s80861",2021-11-02
"80485","c00136","i80553",216,"s80862",2021-11-02
"80486","c00536","i80522",204,"s80863",2021-11-02
"80487","c00577","i80329",480,"s80864",2021-11-02
"80494","c00180","i80497",276,"s81144",2021-11-03
"80495","c00677","i80525",896,"s81145",2021-11-03
"80496","c00508","i80317",92,"s81146",2021-11-03
"80498","c00495","i80367",0,"s81148",2021-11-03
"80504","c00249","i80322",0,"s81416",2021-11-04
"80512","c00053","i80285",180,"s81673",2021-11-05
"80527","c00459","i80506",148,"s82518",2021-11-08
"80532","c00705","i80541",0,"s82807",2021-11-09
"80535","c00966","i80531",78,"s83096",2021-11-10
"80536","c00911","i80299",90,"s83097",2021-11-10
"80540","c00402","i80462",0,"s83643",2021-11-12
"80541","c00529","i80402",260,"s83644",2021-11-12
"80545","c00123","i80348",112,"s83926",2021-11-13
"80554","c00689","i80538",96,"s86031",2021-11-21
"80555","c00012","i80482",138,"s86032",2021-11-21
"80557","c00195","i80346",100,"s86555",2021-11-23
"80563","c00320","i80545",81,"s87903",2021-11-28
"80566","c00006","i80410",60,"s94516",2021-12-22
"80578","c00281","i80729",174,"s78064",2021-10-22
"80595","c00879","i80792",92,"s78302",2021-10-23
"80596","c00166","i80749",108,"s78303",2021-10-23
"80597","c00031","i80576",132,"s78304",2021-10-23
"80598","c00203","i80760",168,"s78305",2021-10-23
"80615","c00432","i80664",198,"s78540",2021-10-24
"80616","c00439","i80614",50,"s78541",2021-10-24
"80617","c00806","i80578",0,"s78542",2021-10-24
"80618","c00454","i80645",54,"s78543",2021-10-24
"80619","c00977","i80567",160,"s78544",2021-10-24
"80620","c00434","i80681",66,"s78545",2021-10-24
"80621","c00233","i80649",120,"s78546",2021-10-24
"80622","c00492","i80666",186,"s78547",2021-10-24
"80623","c00352","i80735",150,"s78548",2021-10-24
"80624","c00465","i80699",102,"s78549",2021-10-24
"80637","c00354","i80712",96,"s78801",2021-10-25
"80638","c00997","i80598",224,"s78802",2021-10-25
"80639","c00265","i80767",468,"s78803",2021-10-25
"80640","c00624","i80631",0,"s78804",2021-10-25
"80641","c00766","i80655",120,"s78805",2021-10-25
"80642","c00244","i80592",448,"s78806",2021-10-25
"80643","c00142","i80733",450,"s78807",2021-10-25
"80644","c00761","i80609",384,"s78808",2021-10-25
"80659","c00846","i80687",0,"s79071",2021-10-26
"80660","c00323","i80826",208,"s79072",2021-10-26
"80661","c00223","i80647",56,"s79073",2021-10-26
"80662","c00882","i80811",0,"s79074",2021-10-26
"80663","c00595","i80719",43,"s79075",2021-10-26
"80664","c00822","i80800",140,"s79076",2021-10-26
"80665","c00905","i80629",246,"s79077",2021-10-26
"80680","c00747","i80686",256,"s79312",2021-10-27
"80681","c00852","i80753",0,"s79313",2021-10-27
"80682","c00314","i80746",270,"s79314",2021-10-27
"80699","c00234","i80770",136,"s79564",2021-10-28
"80700","c00223","i80758",0,"s79565",2021-10-28
"80701","c00883","i80691",75,"s79566",2021-10-28
"80708","c00768","i80661",0,"s79824",2021-10-29
"80709","c00766","i80791",38,"s79825",2021-10-29
"80710","c00315","i80809",48,"s79826",2021-10-29
"80713","c00250","i80701",0,"s80105",2021-10-30
"80714","c00023","i80697",234,"s80106",2021-10-30
"80715","c00862","i80722",81,"s80107",2021-10-30
"80716","c00345","i80810",84,"s80108",2021-10-30
"80717","c00181","i80672",243,"s80109",2021-10-30
"80718","c00754","i80761",328,"s80110",2021-10-30
"80731","c00794","i80751",29,"s80365",2021-10-31
"80732","c00385","i80642",52,"s80366",2021-10-31
"80733","c00984","i80825",204,"s80367",2021-10-31
"80741","c00921","i80764",93,"s80614",2021-11-01
"80742","c00862","i80569",62,"s80615",2021-11-01
"80743","c00256","i80668",174,"s80616",2021-11-01
"80744","c00194","i80705",100,"s80617",2021-11-01
"80745","c00217","i80580",156,"s80618",2021-11-01
"80750","c00323","i80754",160,"s80869",2021-11-02
"80751","c00054","i80738",0,"s80870",2021-11-02
"80760","c00179","i80748",0,"s81157",2021-11-03
"80761","c00462","i80798",288,"s81158",2021-11-03
"80762","c00072","i80583",272,"s81159",2021-11-03
"80771","c00794","i80674",0,"s81676",2021-11-05
"80782","c00645","i80784",140,"s82231",2021-11-07
"80785","c00982","i80646",264,"s82522",2021-11-08
"80787","c00832","i80755",116,"s83099",2021-11-10
"80791","c00654","i80602",216,"s83370",2021-11-11
"80799","c00502","i80570",210,"s84467",2021-11-15
"80806","c00984","i80574",174,"s85465",2021-11-19
"80811","c00705","i80620",62,"s87078",2021-11-25
"80815","c00643","i80765",104,"s88434",2021-11-30
"80821","c00546","i80643",576,"s90430",2021-12-07
"80835","c00921","i81061",162,"s78314",2021-10-23
"80836","c00225","i80861",162,"s78315",2021-10-23
"80837","c00638","i81009",29,"s78316",2021-10-23
"80855","c00847","i81043",0,"s78567",2021-10-24
"80856","c00762","i80910",210,"s78568",2021-10-24
"80857","c00734","i80902",75,"s78569",2021-10-24
"80858","c00786","i81052",0,"s78570",2021-10-24
"80859","c00320","i80830",58,"s78571",2021-10-24
"80860","c00059","i80858",132,"s78572",2021-10-24
"80861","c00521","i80848",96,"s78573",2021-10-24
"80862","c00006","i81004",700,"s78574",2021-10-24
"80863","c00704","i80949",48,"s78575",2021-10-24
"80864","c00277","i81044",240,"s78576",2021-10-24
"80865","c00394","i80855",62,"s78577",2021-10-24
"80886","c00473","i80929",352,"s78829",2021-10-25
"80887","c00705","i81030",49,"s78830",2021-10-25
"80888","c00305","i80993",104,"s78831",2021-10-25
"80889","c00423","i80981",44,"s78832",2021-10-25
"80890","c00022","i81054",180,"s78833",2021-10-25
"80891","c00157","i80922",156,"s78834",2021-10-25
"80908","c00465","i80873",0,"s79094",2021-10-26
"80909","c00273","i80860",144,"s79095",2021-10-26
"80910","c00997","i80870",174,"s79096",2021-10-26
"80911","c00615","i80840",234,"s79097",2021-10-26
"80912","c00979","i80844",88,"s79098",2021-10-26
"80913","c00036","i80980",0,"s79099",2021-10-26
"80928","c00940","i80901",64,"s79329",2021-10-27
"80929","c00397","i81046",69,"s79330",2021-10-27
"80930","c00811","i81022",58,"s79331",2021-10-27
"80952","c00765","i80895",116,"s79588",2021-10-28
"80953","c00689","i80888",25,"s79589",2021-10-28
"80969","c00659","i80904",112,"s79842",2021-10-29
"80970","c00394","i80999",252,"s79843",2021-10-29
"80971","c00498","i80841",260,"s79844",2021-10-29
"80972","c00843","i80939",108,"s79845",2021-10-29
"80973","c00376","i81014",315,"s79846",2021-10-29
"80974","c00253","i81085",54,"s79847",2021-10-29
"80975","c00853","i80956",174,"s79848",2021-10-29
"80976","c00111","i81011",243,"s79849",2021-10-29
"80977","c00302","i81041",63,"s79850",2021-10-29
"80988","c00225","i80938",156,"s80121",2021-10-30
"80989","c00933","i81090",0,"s80122",2021-10-30
"80995","c00777","i80972",144,"s80373",2021-10-31
"80996","c00651","i81020",224,"s80374",2021-10-31
"81002","c00670","i81069",174,"s80624",2021-11-01
"81003","c00983","i80911",69,"s80625",2021-11-01
"81013","c00803","i80985",104,"s80880",2021-11-02
"81014","c00669","i80946",186,"s80881",2021-11-02
"81015","c00257","i81051",88,"s80882",2021-11-02
"81016","c00052","i81071",90,"s80883",2021-11-02
"81024","c00343","i81000",60,"s81167",2021-11-03
"81025","c00885","i80962",180,"s81168",2021-11-03
"81027","c00693","i80849",408,"s81170",2021-11-03
"81028","c00557","i80992",0,"s81171",2021-11-03
"81029","c00427","i80930",87,"s81172",2021-11-03
"81033","c00849","i81038",56,"s81426",2021-11-04
"81034","c00165","i81001",420,"s81427",2021-11-04
"81035","c00317","i81064",87,"s81428",2021-11-04
"81052","c00678","i80953",124,"s82238",2021-11-07
"81072","c00328","i80879",120,"s83104",2021-11-10
"81080","c00682","i81089",184,"s83648",2021-11-12
"81091","c00947","i80923",126,"s86035",2021-11-21
"81092","c00179","i80968",30,"s86036",2021-11-21
"81093","c00212","i80882",156,"s86289",2021-11-22
"81095","c00882","i81063",108,"s86557",2021-11-23
"81100","c00637","i80914",56,"s87906",2021-11-28
"81117","c00645","i81316",0,"s78592",2021-10-24
"81118","c00619","i81353",111,"s78593",2021-10-24
"81119","c00500","i81298",256,"s78594",2021-10-24
"81120","c00822","i81283",96,"s78595",2021-10-24
"81121","c00193","i81255",76,"s78596",2021-10-24
"81153","c00737","i81116",112,"s78866",2021-10-25
"81154","c00852","i81295",279,"s78867",2021-10-25
"81155","c00625","i81225",406,"s78868",2021-10-25
"81156","c00450","i81344",132,"s78869",2021-10-25
"81157","c00916","i81207",48,"s78870",2021-10-25
"81158","c00547","i81238",210,"s78871",2021-10-25
"81159","c00113","i81377",225,"s78872",2021-10-25
"81160","c00172","i81378",78,"s78873",2021-10-25
"81162","c00482","i81313",120,"s78875",2021-10-25
"81163","c00388","i81357",68,"s78876",2021-10-25
"81172","c00679","i81126",54,"s79108",2021-10-26
"81173","c00110","i81360",350,"s79109",2021-10-26
"81174","c00529","i81286",0,"s79110",2021-10-26
"81175","c00386","i81288",128,"s79111",2021-10-26
"81176","c00169","i81163",256,"s79112",2021-10-26
"81177","c00263","i81183",0,"s79113",2021-10-26
"81178","c00697","i81158",92,"s79114",2021-10-26
"81179","c00687","i81177",300,"s79115",2021-10-26
"81180","c00132","i81234",31,"s79116",2021-10-26
"81181","c00318","i81259",210,"s79117",2021-10-26
"81182","c00471","i81166",72,"s79118",2021-10-26
"81183","c00834","i81122",0,"s79119",2021-10-26
"81197","c00449","i81265",192,"s79345",2021-10-27
"81198","c00583","i81276",116,"s79346",2021-10-27
"81199","c00378","i81310",174,"s79347",2021-10-27
"81200","c00106","i81349",112,"s79348",2021-10-27
"81201","c00457","i81257",140,"s79349",2021-10-27
"81211","c00552","i81275",0,"s79599",2021-10-28
"81212","c00837","i81213",150,"s79600",2021-10-28
"81213","c00629","i81223",112,"s79601",2021-10-28
"81214","c00737","i81301",126,"s79602",2021-10-28
"81215","c00874","i81248",248,"s79603",2021-10-28
"81232","c00930","i81246",360,"s79867",2021-10-29
"81233","c00458","i81381",74,"s79868",2021-10-29
"81234","c00662","i81200",252,"s79869",2021-10-29
"81235","c00544","i81324",50,"s79870",2021-10-29
"81236","c00990","i81119",320,"s79871",2021-10-29
"81237","c00064","i81115",0,"s79872",2021-10-29
"81238","c00655","i81175",120,"s79873",2021-10-29
"81239","c00107","i81323",198,"s79874",2021-10-29
"81250","c00678","i81308",144,"s80133",2021-10-30
"81251","c00862","i81172",0,"s80134",2021-10-30
"81252","c00375","i81129",0,"s80135",2021-10-30
"81253","c00562","i81138",90,"s80136",2021-10-30
"81262","c00697","i81299",270,"s80383",2021-10-31
"81263","c00779","i81334",186,"s80384",2021-10-31
"81264","c00666","i81131",0,"s80385",2021-10-31
"81271","c00502","i81317",184,"s80632",2021-11-01
"81272","c00364","i81239",128,"s80633",2021-11-01
"81273","c00271","i81339",130,"s80634",2021-11-01
"81274","c00335","i81151",296,"s80635",2021-11-01
"81288","c00177","i81383",74,"s80897",2021-11-02
"81289","c00175","i81365",232,"s80898",2021-11-02
"81290","c00323","i81198",128,"s80899",2021-11-02
"81303","c00865","i81176",100,"s81431",2021-11-04
"81304","c00512","i81350",72,"s81432",2021-11-04
"81305","c00253","i81107",93,"s81433",2021-11-04
"81313","c00091","i81277",672,"s81687",2021-11-05
"81315","c00464","i81168",168,"s81689",2021-11-05
"81316","c00055","i81268",0,"s81690",2021-11-05
"81321","c00108","i81196",0,"s81964",2021-11-06
"81332","c00503","i81314",24,"s82536",2021-11-08
"81333","c00905","i81112",42,"s82537",2021-11-08
"81334","c00739","i81245",240,"s82538",2021-11-08
"81338","c00459","i81385",29,"s82819",2021-11-09
"81339","c00898","i81191",168,"s82820",2021-11-09
"81344","c00502","i81270",204,"s83109",2021-11-10
"81348","c00768","i81221",0,"s83379",2021-11-11
"81353","c00834","i81252",312,"s83653",2021-11-12
"81356","c00170","i81326",40,"s83932",2021-11-13
"81360","c00916","i81371",0,"s84469",2021-11-15
"81363","c00268","i81300",336,"s84979",2021-11-17
"81364","c00750","i81202",120,"s84980",2021-11-17
"81367","c00858","i81139",279,"s85226",2021-11-18
"81371","c00993","i81156",108,"s86037",2021-11-21
"81373","c00653","i81203",150,"s86291",2021-11-22
"81375","c00373","i81130",420,"s86559",2021-11-23
"81376","c00220","i81128",0,"s86816",2021-11-24
"81383","c00657","i81160",69,"s92665",2021-12-15
"81394","c00392","i81532",112,"s78885",2021-10-25
"81408","c00368","i81462",576,"s79132",2021-10-26
"81409","c00921","i81413",234,"s79133",2021-10-26
"81410","c00706","i81541",0,"s79134",2021-10-26
"81411","c00069","i81548",408,"s79135",2021-10-26
"81412","c00127","i81475",120,"s79136",2021-10-26
"81422","c00853","i81598",112,"s79359",2021-10-27
"81424","c00683","i81572",342,"s79361",2021-10-27
"81425","c00921","i81446",64,"s79362",2021-10-27
"81426","c00282","i81405",396,"s79363",2021-10-27
"81427","c00957","i81557",0,"s79364",2021-10-27
"81428","c00023","i81470",190,"s79365",2021-10-27
"81438","c00536","i81525",336,"s79613",2021-10-28
"81439","c00803","i81544",120,"s79614",2021-10-28
"81440","c00465","i81542",64,"s79615",2021-10-28
"81441","c00850","i81519",0,"s79616",2021-10-28
"81442","c00455","i81558",154,"s79617",2021-10-28
"81443","c00353","i81563",140,"s79618",2021-10-28
"81444","c00244","i81608",372,"s79619",2021-10-28
"81460","c00100","i81540",240,"s79890",2021-10-29
"81461","c00650","i81409",372,"s79891",2021-10-29
"81462","c00829","i81589",66,"s79892",2021-10-29
